dataset,pipeline,score,time,samples,channels,n_sessions
BNCI2014-004,CSP+LDA,0.8072496,0.30713966,579.55554,3.0,5.0
BNCI2014-004,CSP+SVM,0.7955519,52.261993,579.55554,3.0,5.0
BNCI2014-004,DLCSPauto+shLDA,0.8072582,0.30718812,579.55554,3.0,5.0
BNCI2014-004,FgMDM,0.80411947,0.33029008,579.55554,3.0,5.0
BNCI2014-004,LogVariance+LDA,0.79181224,0.014696085,579.55554,3.0,5.0
BNCI2014-004,LogVariance+SVM,0.7913971,0.6140588,579.55554,3.0,5.0
BNCI2014-004,MDM,0.7901734,0.32220018,579.55554,3.0,5.0
BNCI2014-004,TRCSP+LDA,0.802358,0.051922377,579.55554,3.0,5.0
BNCI2014-004,TS+EL,0.80601865,6.5177193,579.55554,3.0,5.0
BNCI2014-004,TS+LR,0.8061129,0.32009792,579.55554,3.0,5.0
BNCI2014-004,TS+SVM,0.79817533,7.8427644,579.55554,3.0,5.0
