dataset,pipeline,score,time,samples,channels,n_sessions
Zhou2016,CSP+LDA,0.93113816,0.15401347,199.83333,14.0,3.0
Zhou2016,CSP+SVM,0.9324011,21.785414,199.83333,14.0,3.0
Zhou2016,DLCSPauto+shLDA,0.92885995,0.15610288,199.83333,14.0,3.0
Zhou2016,FgMDM,0.9203915,0.23910286,199.83333,14.0,3.0
Zhou2016,LogVariance+LDA,0.8886822,0.025280349,199.83333,14.0,3.0
Zhou2016,LogVariance+SVM,0.8865757,0.81083703,199.83333,14.0,3.0
Zhou2016,MDM,0.93235236,0.21156876,199.83333,14.0,3.0
Zhou2016,TRCSP+LDA,0.93351054,0.042055357,199.83333,14.0,3.0
Zhou2016,TS+EL,0.94395095,3.8017147,199.83333,14.0,3.0
Zhou2016,TS+LR,0.9436661,0.20817392,199.83333,14.0,3.0
Zhou2016,TS+SVM,0.9353994,4.0025387,199.83333,14.0,3.0
