score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.78838736,0.64793587,144.0,1,0train,22,2,BNCI2014-001,LogVariance+SVM
0.7777778,0.6849296,144.0,1,1test,22,2,BNCI2014-001,LogVariance+SVM
0.5196759,0.89818716,144.0,2,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5590278,0.83123183,144.0,2,1test,22,2,BNCI2014-001,LogVariance+SVM
0.96373457,0.76102877,144.0,3,0train,22,2,BNCI2014-001,LogVariance+SVM
0.96489197,0.77077794,144.0,3,1test,22,2,BNCI2014-001,LogVariance+SVM
0.74054784,0.81758547,144.0,4,0train,22,2,BNCI2014-001,LogVariance+SVM
0.6907793,0.80161023,144.0,4,1test,22,2,BNCI2014-001,LogVariance+SVM
0.52758485,0.69936204,144.0,5,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5131173,0.7611842,144.0,5,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7195216,0.7936411,144.0,6,0train,22,2,BNCI2014-001,LogVariance+SVM
0.6865355,0.7720492,144.0,6,1test,22,2,BNCI2014-001,LogVariance+SVM
0.68441355,0.77850294,144.0,7,0train,22,2,BNCI2014-001,LogVariance+SVM
0.80189043,0.79766965,144.0,7,1test,22,2,BNCI2014-001,LogVariance+SVM
0.96508485,0.7073448,144.0,8,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9697145,0.71164536,144.0,8,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7991898,0.6528528,144.0,9,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9226466,0.7108898,144.0,9,1test,22,2,BNCI2014-001,LogVariance+SVM
0.908179,0.33071876,144.0,1,0train,22,2,BNCI2014-001,FgMDM
0.9502315,0.3157599,144.0,1,1test,22,2,BNCI2014-001,FgMDM
0.53125,0.31784272,144.0,2,0train,22,2,BNCI2014-001,FgMDM
0.5989583,0.31729817,144.0,2,1test,22,2,BNCI2014-001,FgMDM
0.9986497,0.31548882,144.0,3,0train,22,2,BNCI2014-001,FgMDM
0.9971065,0.31763363,144.0,3,1test,22,2,BNCI2014-001,FgMDM
0.85320216,0.30318284,144.0,4,0train,22,2,BNCI2014-001,FgMDM
0.8420139,0.31219435,144.0,4,1test,22,2,BNCI2014-001,FgMDM
0.65007716,0.31914806,144.0,5,0train,22,2,BNCI2014-001,FgMDM
0.7008102,0.32010245,144.0,5,1test,22,2,BNCI2014-001,FgMDM
0.8674769,0.31302357,144.0,6,0train,22,2,BNCI2014-001,FgMDM
0.8097994,0.3141508,144.0,6,1test,22,2,BNCI2014-001,FgMDM
0.8472222,0.31354046,144.0,7,0train,22,2,BNCI2014-001,FgMDM
0.8423997,0.3074267,144.0,7,1test,22,2,BNCI2014-001,FgMDM
0.9830247,0.31644273,144.0,8,0train,22,2,BNCI2014-001,FgMDM
0.99151236,0.31516957,144.0,8,1test,22,2,BNCI2014-001,FgMDM
0.7953318,0.3142743,144.0,9,0train,22,2,BNCI2014-001,FgMDM
0.90084875,0.31625938,144.0,9,1test,22,2,BNCI2014-001,FgMDM
0.9521605,0.26156282,144.0,1,0train,22,2,BNCI2014-001,TS+LR
0.96026236,0.26071787,144.0,1,1test,22,2,BNCI2014-001,TS+LR
0.6097608,0.2564566,144.0,2,0train,22,2,BNCI2014-001,TS+LR
0.6396605,0.26263762,144.0,2,1test,22,2,BNCI2014-001,TS+LR
0.998071,0.25091338,144.0,3,0train,22,2,BNCI2014-001,TS+LR
0.9986497,0.25905848,144.0,3,1test,22,2,BNCI2014-001,TS+LR
0.8601466,0.24147987,144.0,4,0train,22,2,BNCI2014-001,TS+LR
0.8883102,0.25538945,144.0,4,1test,22,2,BNCI2014-001,TS+LR
0.6371528,0.25475955,144.0,5,0train,22,2,BNCI2014-001,TS+LR
0.6849923,0.2602632,144.0,5,1test,22,2,BNCI2014-001,TS+LR
0.8778935,0.25033474,144.0,6,0train,22,2,BNCI2014-001,TS+LR
0.81732255,0.2571423,144.0,6,1test,22,2,BNCI2014-001,TS+LR
