score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.84096044,0.043117046,200.0,1,0,14,3,Zhou2016,TRCSP+LDA
0.9156,0.04391575,219.0,1,1,14,3,Zhou2016,TRCSP+LDA
0.958,0.042781353,219.0,1,2,14,3,Zhou2016,TRCSP+LDA
0.9348,0.04160762,190.0,2,0,14,3,Zhou2016,TRCSP+LDA
0.7950617,0.040416956,200.0,2,1,14,3,Zhou2016,TRCSP+LDA
0.938,0.03986907,190.0,2,2,14,3,Zhou2016,TRCSP+LDA
0.9804,0.04074979,200.0,3,0,14,3,Zhou2016,TRCSP+LDA
0.9676,0.041229725,200.0,3,1,14,3,Zhou2016,TRCSP+LDA
0.9716,0.04143071,200.0,3,2,14,3,Zhou2016,TRCSP+LDA
0.98370373,0.041012764,200.0,4,0,14,3,Zhou2016,TRCSP+LDA
0.9444,0.040667057,190.0,4,1,14,3,Zhou2016,TRCSP+LDA
0.972,0.041117907,190.0,4,2,14,3,Zhou2016,TRCSP+LDA
0.8587571,0.22429276,200.0,1,0,14,3,Zhou2016,MDM
0.9396,0.21680641,219.0,1,1,14,3,Zhou2016,MDM
0.9804,0.21907377,219.0,1,2,14,3,Zhou2016,MDM
0.8912,0.21050835,190.0,2,0,14,3,Zhou2016,MDM
0.8306173,0.20300221,200.0,2,1,14,3,Zhou2016,MDM
0.9284,0.20346546,190.0,2,2,14,3,Zhou2016,MDM
0.8912,0.21317458,200.0,3,0,14,3,Zhou2016,MDM
0.9632,0.20439315,200.0,3,1,14,3,Zhou2016,MDM
0.9492,0.20875001,200.0,3,2,14,3,Zhou2016,MDM
0.9876543,0.2147901,200.0,4,0,14,3,Zhou2016,MDM
0.986,0.19836903,190.0,4,1,14,3,Zhou2016,MDM
0.982,0.20787,190.0,4,2,14,3,Zhou2016,MDM
0.84265536,21.6179,200.0,1,0,14,3,Zhou2016,CSP+SVM
0.8644,23.785809,219.0,1,1,14,3,Zhou2016,CSP+SVM
0.9576,23.659645,219.0,1,2,14,3,Zhou2016,CSP+SVM
0.9096,20.653046,190.0,2,0,14,3,Zhou2016,CSP+SVM
0.7367901,21.602922,200.0,2,1,14,3,Zhou2016,CSP+SVM
0.918,20.626465,190.0,2,2,14,3,Zhou2016,CSP+SVM
0.9884,21.710083,200.0,3,0,14,3,Zhou2016,CSP+SVM
0.9776,21.768843,200.0,3,1,14,3,Zhou2016,CSP+SVM
0.9896,21.589075,200.0,3,2,14,3,Zhou2016,CSP+SVM
0.982716,21.692749,200.0,4,0,14,3,Zhou2016,CSP+SVM
0.9368,20.735165,190.0,4,1,14,3,Zhou2016,CSP+SVM
0.9752,20.627462,190.0,4,2,14,3,Zhou2016,CSP+SVM
0.7963277,0.84324646,200.0,1,0,14,3,Zhou2016,LogVariance+SVM
0.9392,0.9073503,219.0,1,1,14,3,Zhou2016,LogVariance+SVM
0.9404,0.91536593,219.0,1,2,14,3,Zhou2016,LogVariance+SVM
0.896,0.7752924,190.0,2,0,14,3,Zhou2016,LogVariance+SVM
0.6962963,0.7795422,200.0,2,1,14,3,Zhou2016,LogVariance+SVM
0.8432,0.72330666,190.0,2,2,14,3,Zhou2016,LogVariance+SVM
0.9844,0.7819841,200.0,3,0,14,3,Zhou2016,LogVariance+SVM
0.9696,0.7721772,200.0,3,1,14,3,Zhou2016,LogVariance+SVM
0.9428,0.8105166,200.0,3,2,14,3,Zhou2016,LogVariance+SVM
0.8577778,0.8368895,200.0,4,0,14,3,Zhou2016,LogVariance+SVM
0.836,0.7869394,190.0,4,1,14,3,Zhou2016,LogVariance+SVM
0.8908,0.8144231,190.0,4,2,14,3,Zhou2016,LogVariance+SVM
0.7898305,0.02465105,200.0,1,0,14,3,Zhou2016,LogVariance+LDA
0.936,0.023969889,219.0,1,1,14,3,Zhou2016,LogVariance+LDA
0.902,0.023776293,219.0,1,2,14,3,Zhou2016,LogVariance+LDA
0.904,0.024273396,190.0,2,0,14,3,Zhou2016,LogVariance+LDA
0.69580245,0.023780823,200.0,2,1,14,3,Zhou2016,LogVariance+LDA
0.8748,0.025412798,190.0,2,2,14,3,Zhou2016,LogVariance+LDA
0.9856,0.024142027,200.0,3,0,14,3,Zhou2016,LogVariance+LDA
0.9924,0.024933815,200.0,3,1,14,3,Zhou2016,LogVariance+LDA
0.9616,0.02286625,200.0,3,2,14,3,Zhou2016,LogVariance+LDA
0.8997531,0.027125597,200.0,4,0,14,3,Zhou2016,LogVariance+LDA
0.816,0.025250912,190.0,4,1,14,3,Zhou2016,LogVariance+LDA
0.9064,0.024468184,190.0,4,2,14,3,Zhou2016,LogVariance+LDA
0.84265536,0.16356921,200.0,1,0,14,3,Zhou2016,DLCSPauto+shLDA
0.9472,0.16333127,219.0,1,1,14,3,Zhou2016,DLCSPauto+shLDA
0.956,0.16274619,219.0,1,2,14,3,Zhou2016,DLCSPauto+shLDA
0.9028,0.15011764,190.0,2,0,14,3,Zhou2016,DLCSPauto+shLDA
0.71753085,0.14913702,200.0,2,1,14,3,Zhou2016,DLCSPauto+shLDA
0.916,0.15003729,190.0,2,2,14,3,Zhou2016,DLCSPauto+shLDA
0.9944,0.15666056,200.0,3,0,14,3,Zhou2016,DLCSPauto+shLDA
0.9884,0.15558553,200.0,3,1,14,3,Zhou2016,DLCSPauto+shLDA
0.9756,0.15661883,200.0,3,2,14,3,Zhou2016,DLCSPauto+shLDA
0.97333336,0.15034103,200.0,4,0,14,3,Zhou2016,DLCSPauto+shLDA
0.9508,0.14995718,190.0,4,1,14,3,Zhou2016,DLCSPauto+shLDA
0.9816,0.1492424,190.0,4,2,14,3,Zhou2016,DLCSPauto+shLDA
0.88248587,0.24670863,200.0,1,0,14,3,Zhou2016,FgMDM
0.8584,0.24749064,219.0,1,1,14,3,Zhou2016,FgMDM
0.9644,0.25690866,219.0,1,2,14,3,Zhou2016,FgMDM
0.8516,0.23192239,190.0,2,0,14,3,Zhou2016,FgMDM
0.7249383,0.22849774,200.0,2,1,14,3,Zhou2016,FgMDM
0.896,0.23122692,190.0,2,2,14,3,Zhou2016,FgMDM
0.9724,0.23369336,200.0,3,0,14,3,Zhou2016,FgMDM
0.9596,0.2303946,200.0,3,1,14,3,Zhou2016,FgMDM
0.9772,0.2343359,200.0,3,2,14,3,Zhou2016,FgMDM
0.99407405,0.23821855,200.0,4,0,14,3,Zhou2016,FgMDM
0.986,0.22718143,190.0,4,1,14,3,Zhou2016,FgMDM
0.9776,0.23670864,190.0,4,2,14,3,Zhou2016,FgMDM
0.859887,3.9894266,200.0,1,0,14,3,Zhou2016,TS+SVM
0.9304,4.251583,219.0,1,1,14,3,Zhou2016,TS+SVM
0.9792,4.2860575,219.0,1,2,14,3,Zhou2016,TS+SVM
0.8932,3.8304944,190.0,2,0,14,3,Zhou2016,TS+SVM
0.7708642,3.9995487,200.0,2,1,14,3,Zhou2016,TS+SVM
0.9032,3.862645,190.0,2,2,14,3,Zhou2016,TS+SVM
0.9796,3.8752012,200.0,3,0,14,3,Zhou2016,TS+SVM
0.9716,3.9413085,200.0,3,1,14,3,Zhou2016,TS+SVM
0.9772,3.9642622,200.0,3,2,14,3,Zhou2016,TS+SVM
0.99456793,4.090728,200.0,4,0,14,3,Zhou2016,TS+SVM
0.9896,3.742785,190.0,4,1,14,3,Zhou2016,TS+SVM
0.9816,3.8696778,190.0,4,2,14,3,Zhou2016,TS+SVM
0.8454802,0.16127753,200.0,1,0,14,3,Zhou2016,CSP+LDA
0.9408,0.16198039,219.0,1,1,14,3,Zhou2016,CSP+LDA
0.9464,0.16069508,219.0,1,2,14,3,Zhou2016,CSP+LDA
0.8988,0.14901328,190.0,2,0,14,3,Zhou2016,CSP+LDA
0.7565432,0.14859986,200.0,2,1,14,3,Zhou2016,CSP+LDA
0.91,0.15149093,190.0,2,2,14,3,Zhou2016,CSP+LDA
0.9944,0.15507722,200.0,3,0,14,3,Zhou2016,CSP+LDA
0.9888,0.1549015,200.0,3,1,14,3,Zhou2016,CSP+LDA
0.9716,0.15445018,200.0,3,2,14,3,Zhou2016,CSP+LDA
0.98123455,0.14866948,200.0,4,0,14,3,Zhou2016,CSP+LDA
0.9576,0.14992046,190.0,4,1,14,3,Zhou2016,CSP+LDA
0.982,0.15020227,190.0,4,2,14,3,Zhou2016,CSP+LDA
0.8629944,3.6869442,200.0,1,0,14,3,Zhou2016,TS+EL
0.9416,3.8559222,219.0,1,1,14,3,Zhou2016,TS+EL
0.9824,4.0302906,219.0,1,2,14,3,Zhou2016,TS+EL
0.904,4.0191317,190.0,2,0,14,3,Zhou2016,TS+EL
0.7945679,3.875958,200.0,2,1,14,3,Zhou2016,TS+EL
0.93,4.0502963,190.0,2,2,14,3,Zhou2016,TS+EL
0.9912,3.5023263,200.0,3,0,14,3,Zhou2016,TS+EL
0.9728,3.533508,200.0,3,1,14,3,Zhou2016,TS+EL
0.9896,3.580369,200.0,3,2,14,3,Zhou2016,TS+EL
