samples,subject,channels,n_sessions,dataset,pipeline,score,time
5760.0,8,3,5,BNCI2014-004,CSP+LDA,0.82312155,1.9830154
5760.0,8,3,5,BNCI2014-004,CSP+SVM,0.46699652,469.68686
5760.0,8,3,5,BNCI2014-004,DLCSPauto+shLDA,0.82309026,1.9752796
5760.0,8,3,5,BNCI2014-004,FgMDM,0.8200451,2.0705788
5760.0,8,3,5,BNCI2014-004,LogVariance+LDA,0.82419795,0.061415672
5760.0,8,3,5,BNCI2014-004,LogVariance+SVM,0.82359725,14.066431
5760.0,8,3,5,BNCI2014-004,MDM,0.8223194,2.0281892
5760.0,8,3,5,BNCI2014-004,TRCSP+LDA,0.82472914,0.27709675
5760.0,8,3,5,BNCI2014-004,TS+EL,0.8211319,52.211555
5760.0,8,3,5,BNCI2014-004,TS+LR,0.82097566,2.042766
5760.0,8,3,5,BNCI2014-004,TS+SVM,0.49013892,70.59177
5780.0,4,3,5,BNCI2014-004,CSP+LDA,0.97128314,1.9803293
5780.0,4,3,5,BNCI2014-004,CSP+SVM,0.9410636,475.97305
5780.0,4,3,5,BNCI2014-004,DLCSPauto+shLDA,0.97128314,2.0128322
5780.0,4,3,5,BNCI2014-004,FgMDM,0.9689239,2.073702
5780.0,4,3,5,BNCI2014-004,LogVariance+LDA,0.969072,0.06064558
5780.0,4,3,5,BNCI2014-004,LogVariance+SVM,0.9694549,15.129697
5780.0,4,3,5,BNCI2014-004,MDM,0.97129154,2.0540257
5780.0,4,3,5,BNCI2014-004,TRCSP+LDA,0.96213675,0.28578544
5780.0,4,3,5,BNCI2014-004,TS+EL,0.96951675,52.53081
5780.0,4,3,5,BNCI2014-004,TS+LR,0.9693648,2.0437496
5780.0,4,3,5,BNCI2014-004,TS+SVM,0.9264849,71.177246
5780.0,5,3,5,BNCI2014-004,CSP+LDA,0.83190745,2.0046172
5780.0,5,3,5,BNCI2014-004,CSP+SVM,0.8195165,474.35757
5780.0,5,3,5,BNCI2014-004,DLCSPauto+shLDA,0.83193177,2.001715
5780.0,5,3,5,BNCI2014-004,FgMDM,0.84346104,2.094535
5780.0,5,3,5,BNCI2014-004,LogVariance+LDA,0.8047037,0.062441826
5780.0,5,3,5,BNCI2014-004,LogVariance+SVM,0.80596864,14.412294
5780.0,5,3,5,BNCI2014-004,MDM,0.84566784,2.0520341
5780.0,5,3,5,BNCI2014-004,TRCSP+LDA,0.839183,0.28436232
5780.0,5,3,5,BNCI2014-004,TS+EL,0.8436556,52.495277
5780.0,5,3,5,BNCI2014-004,TS+LR,0.843791,2.0452838
5780.0,5,3,5,BNCI2014-004,TS+SVM,0.81544113,71.3424
5800.0,1,3,5,BNCI2014-004,CSP+LDA,0.8198576,1.9982936
5800.0,1,3,5,BNCI2014-004,CSP+SVM,0.7835347,475.56763
5800.0,1,3,5,BNCI2014-004,DLCSPauto+shLDA,0.8198264,2.0033028
5800.0,1,3,5,BNCI2014-004,FgMDM,0.8131979,2.0891974
5800.0,1,3,5,BNCI2014-004,LogVariance+LDA,0.8040972,0.062057495
5800.0,1,3,5,BNCI2014-004,LogVariance+SVM,0.80348617,15.172377
5800.0,1,3,5,BNCI2014-004,MDM,0.8059548,2.044256
5800.0,1,3,5,BNCI2014-004,TRCSP+LDA,0.8172083,0.2821071
5800.0,1,3,5,BNCI2014-004,TS+EL,0.8121354,52.82949
5800.0,1,3,5,BNCI2014-004,TS+LR,0.8124722,2.0613868
5800.0,1,3,5,BNCI2014-004,TS+SVM,0.765566,71.29504
5800.0,3,3,5,BNCI2014-004,CSP+LDA,0.5967396,1.9834003
5800.0,3,3,5,BNCI2014-004,CSP+SVM,0.58030903,473.02582
5800.0,3,3,5,BNCI2014-004,DLCSPauto+shLDA,0.59679514,2.0504642
5800.0,3,3,5,BNCI2014-004,FgMDM,0.59661114,2.0810664
5800.0,3,3,5,BNCI2014-004,LogVariance+LDA,0.5872986,0.0612669
5800.0,3,3,5,BNCI2014-004,LogVariance+SVM,0.58747226,13.730934
5800.0,3,3,5,BNCI2014-004,MDM,0.5964271,2.0815477
5800.0,3,3,5,BNCI2014-004,TRCSP+LDA,0.59975,0.28285837
5800.0,3,3,5,BNCI2014-004,TS+EL,0.59975696,52.795357
5800.0,3,3,5,BNCI2014-004,TS+LR,0.6001111,2.0597546
5800.0,3,3,5,BNCI2014-004,TS+SVM,0.5695347,71.01039
5800.0,6,3,5,BNCI2014-004,CSP+LDA,0.88646185,1.9776018
5800.0,6,3,5,BNCI2014-004,CSP+SVM,0.859941,476.12177
5800.0,6,3,5,BNCI2014-004,DLCSPauto+shLDA,0.88646185,1.9793599
5800.0,6,3,5,BNCI2014-004,FgMDM,0.82402086,2.0807767
5800.0,6,3,5,BNCI2014-004,LogVariance+LDA,0.89735764,0.06204176
5800.0,6,3,5,BNCI2014-004,LogVariance+SVM,0.8976146,14.648636
5800.0,6,3,5,BNCI2014-004,MDM,0.8658298,2.036417
5800.0,6,3,5,BNCI2014-004,TRCSP+LDA,0.8472187,0.28293514
5800.0,6,3,5,BNCI2014-004,TS+EL,0.83041316,52.61564
5800.0,6,3,5,BNCI2014-004,TS+LR,0.8304375,2.0539012
5800.0,6,3,5,BNCI2014-004,TS+SVM,0.80910075,71.554596
5800.0,7,3,5,BNCI2014-004,CSP+LDA,0.75218403,2.000801
5800.0,7,3,5,BNCI2014-004,CSP+SVM,0.7517083,474.7945
5800.0,7,3,5,BNCI2014-004,DLCSPauto+shLDA,0.75221527,2.0027585
5800.0,7,3,5,BNCI2014-004,FgMDM,0.7487327,2.0668178
5800.0,7,3,5,BNCI2014-004,LogVariance+LDA,0.73448265,0.061249018
5800.0,7,3,5,BNCI2014-004,LogVariance+SVM,0.73397917,14.853037
5800.0,7,3,5,BNCI2014-004,MDM,0.7422222,2.052943
5800.0,7,3,5,BNCI2014-004,TRCSP+LDA,0.74855554,0.2806251
5800.0,7,3,5,BNCI2014-004,TS+EL,0.74959373,52.697376
5800.0,7,3,5,BNCI2014-004,TS+LR,0.7497986,2.034068
5800.0,7,3,5,BNCI2014-004,TS+SVM,0.7233403,71.4116
5800.0,9,3,5,BNCI2014-004,CSP+LDA,0.83110416,1.9852076
5800.0,9,3,5,BNCI2014-004,CSP+SVM,0.8128993,475.45224
5800.0,9,3,5,BNCI2014-004,DLCSPauto+shLDA,0.83107984,1.9928299
5800.0,9,3,5,BNCI2014-004,FgMDM,0.83276045,2.0746593
5800.0,9,3,5,BNCI2014-004,LogVariance+LDA,0.81228125,0.060975075
5800.0,9,3,5,BNCI2014-004,LogVariance+SVM,0.813066,14.730463
5800.0,9,3,5,BNCI2014-004,MDM,0.8299861,2.040096
5800.0,9,3,5,BNCI2014-004,TRCSP+LDA,0.83400345,0.28269124
5800.0,9,3,5,BNCI2014-004,TS+EL,0.8333125,52.61094
5800.0,9,3,5,BNCI2014-004,TS+LR,0.83329165,2.0590196
5800.0,9,3,5,BNCI2014-004,TS+SVM,0.8084723,71.527176
5840.0,2,3,5,BNCI2014-004,CSP+LDA,0.6302535,2.0182679
5840.0,2,3,5,BNCI2014-004,CSP+SVM,0.6183958,476.95352
5840.0,2,3,5,BNCI2014-004,DLCSPauto+shLDA,0.6302535,2.0132933
5840.0,2,3,5,BNCI2014-004,FgMDM,0.61102426,2.1073914
5840.0,2,3,5,BNCI2014-004,LogVariance+LDA,0.6370937,0.06487799
5840.0,2,3,5,BNCI2014-004,LogVariance+SVM,0.6372465,14.849902
5840.0,2,3,5,BNCI2014-004,MDM,0.6235069,2.0785856
5840.0,2,3,5,BNCI2014-004,TRCSP+LDA,0.6072361,0.28329968
5840.0,2,3,5,BNCI2014-004,TS+EL,0.61214584,53.091988
5840.0,2,3,5,BNCI2014-004,TS+LR,0.6122535,2.069865
5840.0,2,3,5,BNCI2014-004,TS+SVM,0.56431943,71.58157
