samples,subject,channels,n_sessions,dataset,pipeline,score,time
880.0,1,14,3,Zhou2016,CSP+LDA,0.91465235,0.36526728
880.0,1,14,3,Zhou2016,CSP+SVM,0.8775842,77.413475
880.0,1,14,3,Zhou2016,DLCSPauto+shLDA,0.9148392,0.36534977
880.0,1,14,3,Zhou2016,FgMDM,0.89416796,0.5963919
880.0,1,14,3,Zhou2016,LogVariance+LDA,0.8835661,0.04707265
880.0,1,14,3,Zhou2016,LogVariance+SVM,0.88882184,3.0999625
880.0,1,14,3,Zhou2016,MDM,0.91112995,0.5266006
880.0,1,14,3,Zhou2016,TRCSP+LDA,0.88382524,0.087390184
880.0,1,14,3,Zhou2016,TS+EL,0.91453713,13.790521
880.0,1,14,3,Zhou2016,TS+LR,0.91321963,0.5564449
880.0,1,14,3,Zhou2016,TS+SVM,0.8892121,14.128598
899.0,3,14,3,Zhou2016,CSP+LDA,0.9426667,0.37446404
899.0,3,14,3,Zhou2016,CSP+SVM,0.9281333,79.28366
899.0,3,14,3,Zhou2016,DLCSPauto+shLDA,0.9457333,0.3749888
899.0,3,14,3,Zhou2016,FgMDM,0.9322667,0.593652
899.0,3,14,3,Zhou2016,LogVariance+LDA,0.9518666,0.049376726
899.0,3,14,3,Zhou2016,LogVariance+SVM,0.958,2.9624321
899.0,3,14,3,Zhou2016,MDM,0.96999997,0.5340185
899.0,3,14,3,Zhou2016,TRCSP+LDA,0.97199994,0.08723521
899.0,3,14,3,Zhou2016,TS+EL,0.9618667,14.167999
899.0,3,14,3,Zhou2016,TS+LR,0.9536,0.5430496
899.0,3,14,3,Zhou2016,TS+SVM,0.9312,14.449626
909.0,2,14,3,Zhou2016,CSP+LDA,0.86754733,0.37784243
909.0,2,14,3,Zhou2016,CSP+SVM,0.8646782,79.98208
909.0,2,14,3,Zhou2016,DLCSPauto+shLDA,0.8685119,0.38018084
909.0,2,14,3,Zhou2016,FgMDM,0.8590222,0.6045902
909.0,2,14,3,Zhou2016,LogVariance+LDA,0.8365728,0.05011964
909.0,2,14,3,Zhou2016,LogVariance+SVM,0.83380413,2.9304988
909.0,2,14,3,Zhou2016,MDM,0.8905844,0.532114
909.0,2,14,3,Zhou2016,TRCSP+LDA,0.8816708,0.08798289
909.0,2,14,3,Zhou2016,TS+EL,0.8530914,13.623584
909.0,2,14,3,Zhou2016,TS+LR,0.8580082,0.55063534
909.0,2,14,3,Zhou2016,TS+SVM,0.86366254,14.459575
909.0,4,14,3,Zhou2016,CSP+LDA,0.9640066,0.3759787
909.0,4,14,3,Zhou2016,CSP+SVM,0.9722255,80.12998
909.0,4,14,3,Zhou2016,DLCSPauto+shLDA,0.9657629,0.38197947
909.0,4,14,3,Zhou2016,FgMDM,0.963577,0.61249614
909.0,4,14,3,Zhou2016,LogVariance+LDA,0.8891391,0.04933691
909.0,4,14,3,Zhou2016,LogVariance+SVM,0.88519174,3.0147617
909.0,4,14,3,Zhou2016,MDM,0.97309464,0.5366466
909.0,4,14,3,Zhou2016,TRCSP+LDA,0.956614,0.08778834
909.0,4,14,3,Zhou2016,TS+EL,0.9670403,13.900428
909.0,4,14,3,Zhou2016,TS+LR,0.9677778,0.55073524
909.0,4,14,3,Zhou2016,TS+SVM,0.97577614,14.484096
