score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.7212577,13.320627,2304.0,1,0train,22,2,BNCI2014-001,LogVariance+SVM
0.7905093,13.320627,2304.0,1,1test,22,2,BNCI2014-001,LogVariance+SVM
0.4513889,12.884553,2304.0,2,0train,22,2,BNCI2014-001,LogVariance+SVM
0.4861111,12.884553,2304.0,2,1test,22,2,BNCI2014-001,LogVariance+SVM
0.94521606,14.269701,2304.0,3,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9253472,14.269701,2304.0,3,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7015818,14.560259,2304.0,4,0train,22,2,BNCI2014-001,LogVariance+SVM
0.66512346,14.560259,2304.0,4,1test,22,2,BNCI2014-001,LogVariance+SVM
0.43306327,12.370444,2304.0,5,0train,22,2,BNCI2014-001,LogVariance+SVM
0.6290509,12.370444,2304.0,5,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7170139,12.850695,2304.0,6,0train,22,2,BNCI2014-001,LogVariance+SVM
0.67727625,12.850695,2304.0,6,1test,22,2,BNCI2014-001,LogVariance+SVM
0.58931327,12.763014,2304.0,7,0train,22,2,BNCI2014-001,LogVariance+SVM
0.6114969,12.763014,2304.0,7,1test,22,2,BNCI2014-001,LogVariance+SVM
0.8680556,11.799046,2304.0,8,0train,22,2,BNCI2014-001,LogVariance+SVM
0.88580245,11.799046,2304.0,8,1test,22,2,BNCI2014-001,LogVariance+SVM
0.77102625,12.307911,2304.0,9,0train,22,2,BNCI2014-001,LogVariance+SVM
0.6597222,12.307911,2304.0,9,1test,22,2,BNCI2014-001,LogVariance+SVM
0.9048997,2.4639437,2304.0,1,0train,22,2,BNCI2014-001,FgMDM
0.90200615,2.4639437,2304.0,1,1test,22,2,BNCI2014-001,FgMDM
0.5748457,2.473902,2304.0,2,0train,22,2,BNCI2014-001,FgMDM
0.51986885,2.473902,2304.0,2,1test,22,2,BNCI2014-001,FgMDM
0.96489197,2.4699652,2304.0,3,0train,22,2,BNCI2014-001,FgMDM
0.9606481,2.4699652,2304.0,3,1test,22,2,BNCI2014-001,FgMDM
0.77064043,2.4844658,2304.0,4,0train,22,2,BNCI2014-001,FgMDM
0.7835648,2.4844658,2304.0,4,1test,22,2,BNCI2014-001,FgMDM
0.5046296,2.4851909,2304.0,5,0train,22,2,BNCI2014-001,FgMDM
0.7476852,2.4851909,2304.0,5,1test,22,2,BNCI2014-001,FgMDM
0.685571,2.4764242,2304.0,6,0train,22,2,BNCI2014-001,FgMDM
0.63348764,2.4764242,2304.0,6,1test,22,2,BNCI2014-001,FgMDM
0.5954861,2.4644737,2304.0,7,0train,22,2,BNCI2014-001,FgMDM
0.70968366,2.4644737,2304.0,7,1test,22,2,BNCI2014-001,FgMDM
0.9521605,2.4737623,2304.0,8,0train,22,2,BNCI2014-001,FgMDM
0.9600694,2.4737623,2304.0,8,1test,22,2,BNCI2014-001,FgMDM
0.80304784,2.3864713,2304.0,9,0train,22,2,BNCI2014-001,FgMDM
0.7318673,2.3864713,2304.0,9,1test,22,2,BNCI2014-001,FgMDM
0.9072145,2.1451406,2304.0,1,0train,22,2,BNCI2014-001,TS+LR
0.9155093,2.1451406,2304.0,1,1test,22,2,BNCI2014-001,TS+LR
0.5640432,2.1657033,2304.0,2,0train,22,2,BNCI2014-001,TS+LR
0.5063657,2.1657033,2304.0,2,1test,22,2,BNCI2014-001,TS+LR
0.9830247,2.1501815,2304.0,3,0train,22,2,BNCI2014-001,TS+LR
0.9797454,2.1501815,2304.0,3,1test,22,2,BNCI2014-001,TS+LR
0.7934028,2.1411493,2304.0,4,0train,22,2,BNCI2014-001,TS+LR
0.81963736,2.1411493,2304.0,4,1test,22,2,BNCI2014-001,TS+LR
0.50675154,2.1449142,2304.0,5,0train,22,2,BNCI2014-001,TS+LR
0.74266976,2.1449142,2304.0,5,1test,22,2,BNCI2014-001,TS+LR
0.7195216,2.149899,2304.0,6,0train,22,2,BNCI2014-001,TS+LR
0.7019676,2.149899,2304.0,6,1test,22,2,BNCI2014-001,TS+LR
0.64429015,2.1503139,2304.0,7,0train,22,2,BNCI2014-001,TS+LR
0.74575615,2.1503139,2304.0,7,1test,22,2,BNCI2014-001,TS+LR
0.96489197,2.1523232,2304.0,8,0train,22,2,BNCI2014-001,TS+LR
0.9672068,2.1523232,2304.0,8,1test,22,2,BNCI2014-001,TS+LR
0.806713,2.0445778,2304.0,9,0train,22,2,BNCI2014-001,TS+LR
0.70871913,2.0445778,2304.0,9,1test,22,2,BNCI2014-001,TS+LR
0.9068287,48.597145,2304.0,1,0train,22,2,BNCI2014-001,TS+EL
0.9166667,48.597145,2304.0,1,1test,22,2,BNCI2014-001,TS+EL
0.55941355,48.68768,2304.0,2,0train,22,2,BNCI2014-001,TS+EL
0.5115741,48.68768,2304.0,2,1test,22,2,BNCI2014-001,TS+EL
0.9839892,48.35257,2304.0,3,0train,22,2,BNCI2014-001,TS+EL
0.9826389,48.35257,2304.0,3,1test,22,2,BNCI2014-001,TS+EL
0.7957176,48.272778,2304.0,4,0train,22,2,BNCI2014-001,TS+EL
0.82079476,48.272778,2304.0,4,1test,22,2,BNCI2014-001,TS+EL
0.5069444,48.893253,2304.0,5,0train,22,2,BNCI2014-001,TS+EL
0.74151236,48.893253,2304.0,5,1test,22,2,BNCI2014-001,TS+EL
0.7204861,49.736782,2304.0,6,0train,22,2,BNCI2014-001,TS+EL
0.7038966,49.736782,2304.0,6,1test,22,2,BNCI2014-001,TS+EL
0.64371145,48.749306,2304.0,7,0train,22,2,BNCI2014-001,TS+EL
0.74324846,48.749306,2304.0,7,1test,22,2,BNCI2014-001,TS+EL
0.9654707,48.95893,2304.0,8,0train,22,2,BNCI2014-001,TS+EL
0.9679784,48.95893,2304.0,8,1test,22,2,BNCI2014-001,TS+EL
0.80748457,46.70093,2304.0,9,0train,22,2,BNCI2014-001,TS+EL
0.7123843,46.70093,2304.0,9,1test,22,2,BNCI2014-001,TS+EL
0.89737654,228.35844,2304.0,1,0train,22,2,BNCI2014-001,CSP+SVM
0.91647375,228.35844,2304.0,1,1test,22,2,BNCI2014-001,CSP+SVM
0.58892745,227.49977,2304.0,2,0train,22,2,BNCI2014-001,CSP+SVM
0.55883485,227.49977,2304.0,2,1test,22,2,BNCI2014-001,CSP+SVM
0.9508102,228.07727,2304.0,3,0train,22,2,BNCI2014-001,CSP+SVM
0.953125,228.07727,2304.0,3,1test,22,2,BNCI2014-001,CSP+SVM
0.765625,227.54494,2304.0,4,0train,22,2,BNCI2014-001,CSP+SVM
0.8269676,227.54494,2304.0,4,1test,22,2,BNCI2014-001,CSP+SVM
0.50559413,227.39359,2304.0,5,0train,22,2,BNCI2014-001,CSP+SVM
0.55574846,227.39359,2304.0,5,1test,22,2,BNCI2014-001,CSP+SVM
0.6560571,227.38211,2304.0,6,0train,22,2,BNCI2014-001,CSP+SVM
0.6359954,227.38211,2304.0,6,1test,22,2,BNCI2014-001,CSP+SVM
