score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.8358757,0.087390184,880.0,1,0,14,3,Zhou2016,TRCSP+LDA
0.8908,0.087390184,880.0,1,1,14,3,Zhou2016,TRCSP+LDA
0.9248,0.087390184,880.0,1,2,14,3,Zhou2016,TRCSP+LDA
0.9244,0.08798289,909.0,2,0,14,3,Zhou2016,TRCSP+LDA
0.79901236,0.08798289,909.0,2,1,14,3,Zhou2016,TRCSP+LDA
0.9216,0.08798289,909.0,2,2,14,3,Zhou2016,TRCSP+LDA
0.9848,0.08723521,899.0,3,0,14,3,Zhou2016,TRCSP+LDA
0.9532,0.08723521,899.0,3,1,14,3,Zhou2016,TRCSP+LDA
0.978,0.08723521,899.0,3,2,14,3,Zhou2016,TRCSP+LDA
0.94864196,0.08778834,909.0,4,0,14,3,Zhou2016,TRCSP+LDA
0.968,0.08778834,909.0,4,1,14,3,Zhou2016,TRCSP+LDA
0.9532,0.08778834,909.0,4,2,14,3,Zhou2016,TRCSP+LDA
0.85338986,0.5266006,880.0,1,0,14,3,Zhou2016,MDM
0.9208,0.5266006,880.0,1,1,14,3,Zhou2016,MDM
0.9592,0.5266006,880.0,1,2,14,3,Zhou2016,MDM
0.93,0.532114,909.0,2,0,14,3,Zhou2016,MDM
0.8197531,0.532114,909.0,2,1,14,3,Zhou2016,MDM
0.922,0.532114,909.0,2,2,14,3,Zhou2016,MDM
0.9788,0.5340185,899.0,3,0,14,3,Zhou2016,MDM
0.9564,0.5340185,899.0,3,1,14,3,Zhou2016,MDM
0.9748,0.5340185,899.0,3,2,14,3,Zhou2016,MDM
0.97728395,0.5366466,909.0,4,0,14,3,Zhou2016,MDM
0.9612,0.5366466,909.0,4,1,14,3,Zhou2016,MDM
0.9808,0.5366466,909.0,4,2,14,3,Zhou2016,MDM
0.84915257,77.413475,880.0,1,0,14,3,Zhou2016,CSP+SVM
0.9052,77.413475,880.0,1,1,14,3,Zhou2016,CSP+SVM
0.8784,77.413475,880.0,1,2,14,3,Zhou2016,CSP+SVM
0.924,79.98208,909.0,2,0,14,3,Zhou2016,CSP+SVM
0.8212346,79.98208,909.0,2,1,14,3,Zhou2016,CSP+SVM
0.8488,79.98208,909.0,2,2,14,3,Zhou2016,CSP+SVM
0.97,79.28366,899.0,3,0,14,3,Zhou2016,CSP+SVM
0.8456,79.28366,899.0,3,1,14,3,Zhou2016,CSP+SVM
0.9688,79.28366,899.0,3,2,14,3,Zhou2016,CSP+SVM
0.9698765,80.12998,909.0,4,0,14,3,Zhou2016,CSP+SVM
0.9804,80.12998,909.0,4,1,14,3,Zhou2016,CSP+SVM
0.9664,80.12998,909.0,4,2,14,3,Zhou2016,CSP+SVM
0.8392655,3.0999625,880.0,1,0,14,3,Zhou2016,LogVariance+SVM
0.8944,3.0999625,880.0,1,1,14,3,Zhou2016,LogVariance+SVM
0.9328,3.0999625,880.0,1,2,14,3,Zhou2016,LogVariance+SVM
0.9248,2.9304986,909.0,2,0,14,3,Zhou2016,LogVariance+SVM
0.7190123,2.9304986,909.0,2,1,14,3,Zhou2016,LogVariance+SVM
0.8576,2.9304986,909.0,2,2,14,3,Zhou2016,LogVariance+SVM
0.968,2.9624324,899.0,3,0,14,3,Zhou2016,LogVariance+SVM
0.9652,2.9624324,899.0,3,1,14,3,Zhou2016,LogVariance+SVM
0.9408,2.9624324,899.0,3,2,14,3,Zhou2016,LogVariance+SVM
0.8819753,3.0147617,909.0,4,0,14,3,Zhou2016,LogVariance+SVM
0.8664,3.0147617,909.0,4,1,14,3,Zhou2016,LogVariance+SVM
0.9072,3.0147617,909.0,4,2,14,3,Zhou2016,LogVariance+SVM
0.8338983,0.04707265,880.0,1,0,14,3,Zhou2016,LogVariance+LDA
0.8892,0.04707265,880.0,1,1,14,3,Zhou2016,LogVariance+LDA
0.9276,0.04707265,880.0,1,2,14,3,Zhou2016,LogVariance+LDA
0.922,0.05011964,909.0,2,0,14,3,Zhou2016,LogVariance+LDA
0.7185185,0.05011964,909.0,2,1,14,3,Zhou2016,LogVariance+LDA
0.8692,0.05011964,909.0,2,2,14,3,Zhou2016,LogVariance+LDA
0.962,0.049376726,899.0,3,0,14,3,Zhou2016,LogVariance+LDA
0.958,0.049376726,899.0,3,1,14,3,Zhou2016,LogVariance+LDA
0.9356,0.049376726,899.0,3,2,14,3,Zhou2016,LogVariance+LDA
0.8706173,0.04933691,909.0,4,0,14,3,Zhou2016,LogVariance+LDA
0.8912,0.04933691,909.0,4,1,14,3,Zhou2016,LogVariance+LDA
0.9056,0.04933691,909.0,4,2,14,3,Zhou2016,LogVariance+LDA
0.8497175,0.36534977,880.0,1,0,14,3,Zhou2016,DLCSPauto+shLDA
0.932,0.36534977,880.0,1,1,14,3,Zhou2016,DLCSPauto+shLDA
0.9628,0.36534977,880.0,1,2,14,3,Zhou2016,DLCSPauto+shLDA
0.9048,0.38018084,909.0,2,0,14,3,Zhou2016,DLCSPauto+shLDA
0.7891358,0.38018084,909.0,2,1,14,3,Zhou2016,DLCSPauto+shLDA
0.9116,0.38018084,909.0,2,2,14,3,Zhou2016,DLCSPauto+shLDA
0.9728,0.3749888,899.0,3,0,14,3,Zhou2016,DLCSPauto+shLDA
0.8928,0.3749888,899.0,3,1,14,3,Zhou2016,DLCSPauto+shLDA
0.9716,0.3749888,899.0,3,2,14,3,Zhou2016,DLCSPauto+shLDA
0.9688889,0.38197947,909.0,4,0,14,3,Zhou2016,DLCSPauto+shLDA
0.958,0.38197947,909.0,4,1,14,3,Zhou2016,DLCSPauto+shLDA
0.9704,0.38197947,909.0,4,2,14,3,Zhou2016,DLCSPauto+shLDA
0.87090397,0.5963919,880.0,1,0,14,3,Zhou2016,FgMDM
0.8464,0.5963919,880.0,1,1,14,3,Zhou2016,FgMDM
0.9652,0.5963919,880.0,1,2,14,3,Zhou2016,FgMDM
0.8956,0.6045902,909.0,2,0,14,3,Zhou2016,FgMDM
0.7866667,0.6045902,909.0,2,1,14,3,Zhou2016,FgMDM
0.8948,0.6045902,909.0,2,2,14,3,Zhou2016,FgMDM
0.9688,0.593652,899.0,3,0,14,3,Zhou2016,FgMDM
0.8796,0.593652,899.0,3,1,14,3,Zhou2016,FgMDM
0.9484,0.593652,899.0,3,2,14,3,Zhou2016,FgMDM
0.95753086,0.61249614,909.0,4,0,14,3,Zhou2016,FgMDM
0.9652,0.61249614,909.0,4,1,14,3,Zhou2016,FgMDM
0.968,0.61249614,909.0,4,2,14,3,Zhou2016,FgMDM
0.8768362,14.128599,880.0,1,0,14,3,Zhou2016,TS+SVM
0.9124,14.128599,880.0,1,1,14,3,Zhou2016,TS+SVM
0.8784,14.128599,880.0,1,2,14,3,Zhou2016,TS+SVM
0.9072,14.459574,909.0,2,0,14,3,Zhou2016,TS+SVM
0.80098766,14.459574,909.0,2,1,14,3,Zhou2016,TS+SVM
0.8828,14.459574,909.0,2,2,14,3,Zhou2016,TS+SVM
0.956,14.449626,899.0,3,0,14,3,Zhou2016,TS+SVM
0.8728,14.449626,899.0,3,1,14,3,Zhou2016,TS+SVM
0.9648,14.449626,899.0,3,2,14,3,Zhou2016,TS+SVM
0.9817284,14.484096,909.0,4,0,14,3,Zhou2016,TS+SVM
0.9736,14.484096,909.0,4,1,14,3,Zhou2016,TS+SVM
0.972,14.484096,909.0,4,2,14,3,Zhou2016,TS+SVM
0.8587571,0.36526728,880.0,1,0,14,3,Zhou2016,CSP+LDA
0.9232,0.36526728,880.0,1,1,14,3,Zhou2016,CSP+LDA
0.962,0.36526728,880.0,1,2,14,3,Zhou2016,CSP+LDA
0.9032,0.37784243,909.0,2,0,14,3,Zhou2016,CSP+LDA
0.788642,0.37784243,909.0,2,1,14,3,Zhou2016,CSP+LDA
0.9108,0.37784243,909.0,2,2,14,3,Zhou2016,CSP+LDA
0.9696,0.37446404,899.0,3,0,14,3,Zhou2016,CSP+LDA
0.888,0.37446404,899.0,3,1,14,3,Zhou2016,CSP+LDA
0.9704,0.37446404,899.0,3,2,14,3,Zhou2016,CSP+LDA
0.96641976,0.3759787,909.0,4,0,14,3,Zhou2016,CSP+LDA
0.9564,0.3759787,909.0,4,1,14,3,Zhou2016,CSP+LDA
0.9692,0.3759787,909.0,4,2,14,3,Zhou2016,CSP+LDA
0.8740113,13.790521,880.0,1,0,14,3,Zhou2016,TS+EL
0.9016,13.790521,880.0,1,1,14,3,Zhou2016,TS+EL
0.968,13.790521,880.0,1,2,14,3,Zhou2016,TS+EL
0.8708,13.623584,909.0,2,0,14,3,Zhou2016,TS+EL
0.79407406,13.623584,909.0,2,1,14,3,Zhou2016,TS+EL
0.8944,13.623584,909.0,2,2,14,3,Zhou2016,TS+EL
0.9812,14.167999,899.0,3,0,14,3,Zhou2016,TS+EL
0.9344,14.167999,899.0,3,1,14,3,Zhou2016,TS+EL
0.97,14.167999,899.0,3,2,14,3,Zhou2016,TS+EL
0.974321,13.900428,909.0,4,0,14,3,Zhou2016,TS+EL
0.956,13.900428,909.0,4,1,14,3,Zhou2016,TS+EL
0.9708,13.900428,909.0,4,2,14,3,Zhou2016,TS+EL
0.87485874,0.5564449,880.0,1,0,14,3,Zhou2016,TS+LR
0.8972,0.5564449,880.0,1,1,14,3,Zhou2016,TS+LR
0.9676,0.5564449,880.0,1,2,14,3,Zhou2016,TS+LR
0.88,0.55063534,909.0,2,0,14,3,Zhou2016,TS+LR
0.7980247,0.55063534,909.0,2,1,14,3,Zhou2016,TS+LR
0.896,0.55063534,909.0,2,2,14,3,Zhou2016,TS+LR
0.9776,0.5430496,899.0,3,0,14,3,Zhou2016,TS+LR
0.9204,0.5430496,899.0,3,1,14,3,Zhou2016,TS+LR
0.9628,0.5430496,899.0,3,2,14,3,Zhou2016,TS+LR
0.97333336,0.55073524,909.0,4,0,14,3,Zhou2016,TS+LR
0.9572,0.55073524,909.0,4,1,14,3,Zhou2016,TS+LR
0.9728,0.55073524,909.0,4,2,14,3,Zhou2016,TS+LR
