pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,76.16±16.05,79.37±14.29,92.22±5.64
CSP+SVM,75.95±15.92,73.72±17.14,91.07±5.99
DLCSPauto+shLDA,76.17±16.07,79.37±14.29,92.37±5.78
FgMDM,76.14±15.57,78.43±14.36,91.23±5.93
LogVariance+LDA,69.77±15.27,78.56±14.24,89.03±6.60
LogVariance+SVM,69.60±15.24,78.58±14.26,89.15±6.82
MDM,75.95±12.47,78.92±14.51,93.62±5.17
TRCSP+LDA,73.73±14.23,78.67±14.32,92.35±5.67
TS+EL,77.73±15.72,78.57±14.33,92.41±5.78
TS+LR,77.65±15.70,78.58±14.32,92.32±5.55
TS+SVM,76.35±16.43,71.92±16.64,91.50±5.56
