score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.6759259,6322.1875,2304.0,1,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.8148148,6322.1875,2304.0,1,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.666088,7386.4487,2304.0,2,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7652392,7386.4487,2304.0,2,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7802855,6323.9854,2304.0,3,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.8449074,6323.9854,2304.0,3,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.8206019,7305.4014,2304.0,4,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.72646606,7305.4014,2304.0,4,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7818287,6813.4272,2304.0,5,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7033179,6813.4272,2304.0,5,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.78780866,7059.2554,2304.0,6,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7552083,7059.2554,2304.0,6,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.74633485,6977.3716,2304.0,7,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7179784,6977.3716,2304.0,7,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7964892,6239.8086,2304.0,8,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.9211034,6239.8086,2304.0,8,1test,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
0.7814429,7139.857,2304.0,9,0train,22,2,BNCI2014-001,Keras_EEGNeX,LeftRightImagery,CrossSubject
