score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.9334491,865.9,2304.0,1,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.95814043,865.9,2304.0,1,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6521991,896.56647,2304.0,2,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.5794753,896.56647,2304.0,2,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9851466,2156.6042,2304.0,3,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.99170524,2156.6042,2304.0,3,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.79128087,783.8665,2304.0,4,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.7833719,783.8665,2304.0,4,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6709105,563.4674,2304.0,5,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6732253,563.4674,2304.0,5,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.8570602,655.41724,2304.0,6,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.76176697,655.41724,2304.0,6,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.72820216,1336.3752,2304.0,7,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.8096065,1336.3752,2304.0,7,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9664352,1343.2489,2304.0,8,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.98939043,1343.2489,2304.0,8,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9247685,1467.0936,2304.0,9,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.78510803,1467.0936,2304.0,9,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9378531,364.4807,880.0,1,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9768,364.4807,880.0,1,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9884,364.4807,880.0,1,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.8924,699.3747,909.0,2,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.8735802,699.3747,909.0,2,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9352,699.3747,909.0,2,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9444,652.6277,899.0,3,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.932,652.6277,899.0,3,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.982,652.6277,899.0,3,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.95506173,280.89664,909.0,4,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9784,280.89664,909.0,4,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9588,280.89664,909.0,4,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.7872222,579.70233,5800.0,1,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.66638887,579.70233,5800.0,1,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.73296875,579.70233,5800.0,1,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.7920312,579.70233,5800.0,1,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.76109374,579.70233,5800.0,1,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6186111,437.05002,5840.0,2,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.475,437.05002,5840.0,2,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.46,437.05002,5840.0,2,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.62666667,437.05002,5840.0,2,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.5364063,437.05002,5840.0,2,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.47166666,464.13528,5800.0,3,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.4875,464.13528,5800.0,3,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.5204688,464.13528,5800.0,3,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.53328127,464.13528,5800.0,3,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.49671876,464.13528,5800.0,3,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.76916665,1493.8292,5780.0,4,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9520408,1493.8292,5780.0,4,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.97984374,1493.8292,5780.0,4,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.93671876,1493.8292,5780.0,4,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.90703124,1493.8292,5780.0,4,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6686111,1258.0538,5780.0,5,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6857143,1258.0538,5780.0,5,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.8201563,1258.0538,5780.0,5,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.82921875,1258.0538,5780.0,5,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.7060937,1258.0538,5780.0,5,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.57805556,830.1358,5800.0,6,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.64944446,830.1358,5800.0,6,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.53,830.1358,5800.0,6,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.5209375,830.1358,5800.0,6,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6220313,830.1358,5800.0,6,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.7311111,530.0961,5800.0,7,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.66305554,530.0961,5800.0,7,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.81203127,530.0961,5800.0,7,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.72625,530.0961,5800.0,7,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.820625,530.0961,5800.0,7,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6195313,1155.1173,5760.0,8,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.65944445,1155.1173,5760.0,8,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9351562,1155.1173,5760.0,8,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.9064062,1155.1173,5760.0,8,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.98828125,1155.1173,5760.0,8,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.6788889,514.2586,5800.0,9,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
0.7058333,514.2586,5800.0,9,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,CrossSubject
