score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.9400077,7339.3735,2304.0,1,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.97492284,7339.3735,2304.0,1,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6487269,7339.8496,2304.0,2,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.625,7339.8496,2304.0,2,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.99382716,8117.8086,2304.0,3,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9990355,8117.8086,2304.0,3,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.77276236,7011.61,2304.0,4,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.78491515,7011.61,2304.0,4,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.7212577,5414.6113,2304.0,5,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6944444,5414.6113,2304.0,5,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.81925154,6888.764,2304.0,6,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.7326389,6888.764,2304.0,6,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.7179784,8117.695,2304.0,7,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.82445985,8117.695,2304.0,7,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.97762346,6070.1006,2304.0,8,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.99517745,6070.1006,2304.0,8,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9126157,9469.869,2304.0,9,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.77237654,9469.869,2304.0,9,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9172316,1170.3214,880.0,1,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9736,1170.3214,880.0,1,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.98,1170.3214,880.0,1,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.926,829.6229,909.0,2,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9037037,829.6229,909.0,2,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9408,829.6229,909.0,2,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9656,794.40063,899.0,3,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.924,794.40063,899.0,3,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9772,794.40063,899.0,3,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9585185,855.6562,909.0,4,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9672,855.6562,909.0,4,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.9352,855.6562,909.0,4,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.7986111,2567.6855,5800.0,1,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6205556,2567.6855,5800.0,1,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6646875,2567.6855,5800.0,1,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.743125,2567.6855,5800.0,1,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.735,2567.6855,5800.0,1,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.5563889,2116.5696,5840.0,2,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.44055554,2116.5696,5840.0,2,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.47421876,2116.5696,5840.0,2,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
0.6225,2116.5696,5840.0,2,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,CrossSubject
