score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.94772375,112.25842,2304.0,1,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9681713,112.25842,2304.0,1,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7010031,92.751465,2304.0,2,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.68074846,92.751465,2304.0,2,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.97357255,177.30542,2304.0,3,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9826389,177.30542,2304.0,3,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.806713,129.70409,2304.0,4,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.85397375,129.70409,2304.0,4,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7478781,115.09765,2304.0,5,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7430556,115.09765,2304.0,5,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.81693673,233.54166,2304.0,6,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.78491515,233.54166,2304.0,6,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7291667,80.9359,2304.0,7,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.8429784,80.9359,2304.0,7,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9936343,195.05064,2304.0,8,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.99170524,195.05064,2304.0,8,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9085648,295.80884,2304.0,9,0train,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7816358,295.80884,2304.0,9,1test,22,2,BNCI2014-001,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.94124293,74.97794,880.0,1,0,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9536,74.97794,880.0,1,1,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9888,74.97794,880.0,1,2,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.91,32.959087,909.0,2,0,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.92049384,32.959087,909.0,2,1,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9048,32.959087,909.0,2,2,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9812,30.022778,899.0,3,0,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.942,30.022778,899.0,3,1,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9872,30.022778,899.0,3,2,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.92987657,75.64588,909.0,4,0,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9856,75.64588,909.0,4,1,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9568,75.64588,909.0,4,2,14,3,Zhou2016,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.785,53.59539,5800.0,1,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.62,53.59539,5800.0,1,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.72515625,53.59539,5800.0,1,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.81390625,53.59539,5800.0,1,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7484375,53.59539,5800.0,1,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.56916666,49.072468,5840.0,2,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.445,49.072468,5840.0,2,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.51,49.072468,5840.0,2,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.6711111,49.072468,5840.0,2,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.51671875,49.072468,5840.0,2,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.49,50.986057,5800.0,3,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.4263889,50.986057,5800.0,3,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.48296875,50.986057,5800.0,3,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.5496875,50.986057,5800.0,3,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.44453126,50.986057,5800.0,3,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7413889,54.14625,5780.0,4,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.92714286,54.14625,5780.0,4,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9490625,54.14625,5780.0,4,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9365625,54.14625,5780.0,4,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.8921875,54.14625,5780.0,4,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.61277777,51.605644,5780.0,5,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.5971429,51.605644,5780.0,5,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.8257812,51.605644,5780.0,5,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.79125,51.605644,5780.0,5,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.6359375,51.605644,5780.0,5,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.4977778,49.461887,5800.0,6,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.53694445,49.461887,5800.0,6,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.5648438,49.461887,5800.0,6,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.523125,49.461887,5800.0,6,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.5875,49.461887,5800.0,6,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7441667,51.723633,5800.0,7,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7075,51.723633,5800.0,7,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.88953125,51.723633,5800.0,7,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.80375,51.723633,5800.0,7,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.900625,51.723633,5800.0,7,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.65734375,47.308167,5760.0,8,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.63055557,47.308167,5760.0,8,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.916875,47.308167,5760.0,8,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9320313,47.308167,5760.0,8,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.9884375,47.308167,5760.0,8,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.7177778,49.651524,5800.0,9,0train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.68916667,49.651524,5800.0,9,1train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.88921875,49.651524,5800.0,9,2train,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.96296877,49.651524,5800.0,9,3test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
0.93421876,49.651524,5800.0,9,4test,3,5,BNCI2014-004,Keras_ShallowConvNet,LeftRightImagery,CrossSubject
