dataset,pipeline,score,time,samples,channels,n_sessions
BNCI2014-004,CSP+LDA,0.75979435,2.1414695,6520.0,3.0,5.0
BNCI2014-004,CSP+SVM,0.7753509,91.97555,6520.0,3.0,5.0
BNCI2014-004,DLCSPauto+shLDA,0.7598108,2.1404757,6520.0,3.0,5.0
BNCI2014-004,FgMDM,0.7593022,2.244009,6520.0,3.0,5.0
BNCI2014-004,LogVariance+LDA,0.75057584,0.056882285,6520.0,3.0,5.0
BNCI2014-004,LogVariance+SVM,0.7508553,4.94205,6520.0,3.0,5.0
BNCI2014-004,MDM,0.7521995,2.2066352,6520.0,3.0,5.0
BNCI2014-004,TRCSP+LDA,0.7600714,0.32320565,6520.0,3.0,5.0
BNCI2014-004,TS+EL,0.75981313,13.672083,6520.0,3.0,5.0
BNCI2014-004,TS+LR,0.7598668,2.2097538,6520.0,3.0,5.0
BNCI2014-004,TS+SVM,0.793396,15.836238,6520.0,3.0,5.0
