dataset,pipeline,score,time,samples,channels,n_sessions
Zhou2016,CSP+LDA,0.89754164,0.4574736,1199.0,14.0,3.0
Zhou2016,CSP+SVM,0.91575,20.252167,1199.0,14.0,3.0
Zhou2016,DLCSPauto+shLDA,0.89788884,0.4582025,1199.0,14.0,3.0
Zhou2016,FgMDM,0.9367778,0.95300275,1199.0,14.0,3.0
Zhou2016,LogVariance+LDA,0.90391666,0.0572865,1199.0,14.0,3.0
Zhou2016,LogVariance+SVM,0.90609723,2.208794,1199.0,14.0,3.0
Zhou2016,MDM,0.83752775,0.67045695,1199.0,14.0,3.0
Zhou2016,TRCSP+LDA,0.9091528,0.10219574,1199.0,14.0,3.0
Zhou2016,TS+EL,0.94208336,4.9631867,1199.0,14.0,3.0
Zhou2016,TS+LR,0.9423889,0.6880966,1199.0,14.0,3.0
Zhou2016,TS+SVM,0.9443472,5.0213914,1199.0,14.0,3.0
