score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.7534062,73.65093,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.77475864,113.31097,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.7737283,90.44156,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.7680356,84.21449,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.7796116,57.52837,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.75330037,92.787704,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGTCNet
0.772905,71.25732,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGTCNet
0.7696493,91.26923,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGTCNet
0.7673134,84.85355,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGTCNet
0.7745587,81.835556,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGTCNet
0.7288169,348.269,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGITNet
0.76617956,239.74088,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGITNet
0.73550475,145.3681,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGITNet
0.76981163,283.62222,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGITNet
0.74348396,230.97533,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGITNet
0.70272213,158.52061,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGNeX
0.73877215,146.58975,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGNeX
0.71521795,157.15785,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGNeX
0.7237335,152.32413,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGNeX
0.7119975,150.68689,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGNeX
