score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.7534062,70.264694,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.77475864,109.41372,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.7737283,86.11439,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.7680356,80.28028,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.7796116,55.04128,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGNet_8_2
0.75330037,86.49186,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGTCNet
0.772905,67.08724,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGTCNet
0.7696493,85.10034,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGTCNet
0.7673134,78.88379,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGTCNet
0.7745587,76.92187,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGTCNet
0.7288169,351.44897,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGITNet
0.76617956,241.25552,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGITNet
0.73550475,143.5987,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGITNet
0.76981163,282.75034,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGITNet
0.74348396,231.26666,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGITNet
0.70272213,158.98712,6520.0,all_subjects,all_sessions_0,3,5,BNCI2014-004,Keras_EEGNeX
0.73877215,146.73547,6520.0,all_subjects,all_sessions_1,3,5,BNCI2014-004,Keras_EEGNeX
0.71521795,156.98126,6520.0,all_subjects,all_sessions_2,3,5,BNCI2014-004,Keras_EEGNeX
0.7237335,151.80443,6520.0,all_subjects,all_sessions_3,3,5,BNCI2014-004,Keras_EEGNeX
0.7119975,149.72456,6520.0,all_subjects,all_sessions_4,3,5,BNCI2014-004,Keras_EEGNeX
