score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.9651389,71.11201,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,Keras_EEGTCNet
0.95819443,65.788475,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,Keras_EEGTCNet
0.9739583,37.569557,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,Keras_EEGTCNet
0.95381945,57.333664,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,Keras_EEGTCNet
0.9669468,44.58733,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,Keras_EEGTCNet
0.968125,57.638817,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,Keras_EEGNeX
0.9545139,53.60977,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,Keras_EEGNeX
0.9575,65.82397,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,Keras_EEGNeX
0.94180554,62.151413,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,Keras_EEGNeX
0.9563025,53.22492,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,Keras_EEGNeX
0.97097224,60.95327,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,Keras_EEGNet_8_2
0.9577778,59.724487,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,Keras_EEGNet_8_2
0.97430557,31.783022,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,Keras_EEGNet_8_2
0.96444446,37.20935,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,Keras_EEGNet_8_2
0.9665266,28.107048,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,Keras_EEGNet_8_2
0.9822222,91.63077,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,Keras_EEGITNet
0.96166664,84.052475,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,Keras_EEGITNet
0.9760417,81.689156,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,Keras_EEGITNet
0.9660417,79.2344,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,Keras_EEGITNet
0.9735294,67.761154,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,Keras_EEGITNet
