score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.74778736,6.222905,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,LogVariance+SVM
0.72800714,6.5438232,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,LogVariance+SVM
0.7061016,6.418174,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,LogVariance+SVM
0.7416407,5.640811,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,LogVariance+SVM
0.7633011,6.127122,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,LogVariance+SVM
0.8122364,2.8708124,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,FgMDM
0.82214135,2.8461132,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,FgMDM
0.8585889,2.838483,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,FgMDM
0.82124597,2.875029,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,FgMDM
0.8239591,2.927921,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,FgMDM
0.83748144,2.34016,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,TS+LR
0.83391744,2.3514993,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,TS+LR
0.8648201,2.3540614,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,TS+LR
0.8399696,2.3527899,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,TS+LR
0.8440989,2.3449285,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,TS+LR
0.83807546,14.044401,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,TS+EL
0.8333234,13.881054,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,TS+EL
0.8627033,14.369089,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,TS+EL
0.8413858,14.414303,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,TS+EL
0.84494865,14.298162,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,TS+EL
0.8279774,45.69082,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,CSP+SVM
0.8015741,45.370358,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,CSP+SVM
0.81412023,47.906578,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,CSP+SVM
0.8288487,45.700417,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,CSP+SVM
0.8047286,45.24875,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,CSP+SVM
0.7494208,0.14961314,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,LogVariance+LDA
0.7289872,0.19489527,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,LogVariance+LDA
0.7087402,0.14880013,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,LogVariance+LDA
0.744011,0.14821029,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,LogVariance+LDA
0.7604985,0.14866614,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,LogVariance+LDA
0.68070984,2.1937249,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,MDM
0.6120879,2.1929836,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,MDM
0.61093307,2.191463,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,MDM
0.58047736,2.198498,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,MDM
0.6175817,2.1957536,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,MDM
0.8749035,12.709146,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,TS+SVM
0.8894565,12.806069,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,TS+SVM
0.89299506,13.658816,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,TS+SVM
0.89461994,14.922545,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,TS+SVM
0.8817251,13.329162,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,TS+SVM
0.7991387,1.0882618,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,CSP+LDA
0.7475498,1.0867853,2592.0,all_subjects,all_sessions_1,22,2,BNCI2014-001,CSP+LDA
0.7706057,1.0904284,2592.0,all_subjects,all_sessions_2,22,2,BNCI2014-001,CSP+LDA
0.7864224,1.0899565,2592.0,all_subjects,all_sessions_3,22,2,BNCI2014-001,CSP+LDA
0.763629,1.0878959,2592.0,all_subjects,all_sessions_4,22,2,BNCI2014-001,CSP+LDA
0.7823285,0.25854373,2592.0,all_subjects,all_sessions_0,22,2,BNCI2014-001,TRCSP+LDA
