score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.9031944,0.10158849,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,TRCSP+LDA
0.90458333,0.10223055,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,TRCSP+LDA
0.94416666,0.102303505,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,TRCSP+LDA
0.9120139,0.10220456,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,TRCSP+LDA
0.90896356,0.101952314,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,TRCSP+LDA
0.85006946,0.6778383,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,MDM
0.8179167,0.6760013,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,MDM
0.88243055,0.6670644,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,MDM
0.9267361,0.6801965,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,MDM
0.8777311,0.6802182,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,MDM
0.93881947,20.40488,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,CSP+SVM
0.9345833,19.57313,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,CSP+SVM
0.93881947,19.224483,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,CSP+SVM
0.921875,19.378288,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,CSP+SVM
0.91694677,19.694115,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,CSP+SVM
0.89708334,1.8900387,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,LogVariance+SVM
0.8993056,1.8728538,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,LogVariance+SVM
0.9340278,1.755528,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,LogVariance+SVM
0.88861114,2.0232773,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,LogVariance+SVM
0.8812325,1.6880879,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,LogVariance+SVM
0.8979861,0.056263685,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,LogVariance+LDA
0.89743054,0.068029165,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,LogVariance+LDA
0.92833334,0.056465387,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,LogVariance+LDA
0.8904167,0.057744026,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,LogVariance+LDA
0.87457985,0.05631852,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,LogVariance+LDA
0.9214583,0.46093822,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,DLCSPauto+shLDA
0.9253472,0.45918274,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,DLCSPauto+shLDA
0.93194443,0.46044493,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,DLCSPauto+shLDA
0.91229165,0.45993543,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,DLCSPauto+shLDA
0.90861344,0.4621482,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,DLCSPauto+shLDA
0.9338195,0.9265075,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,FgMDM
0.93104166,0.9938009,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,FgMDM
0.9579167,0.9876337,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,FgMDM
0.9513889,0.93740034,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,FgMDM
0.92457986,0.9262929,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,FgMDM
0.9458333,4.083831,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,TS+SVM
0.9496528,4.3424406,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,TS+SVM
0.9656944,4.1383514,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,TS+SVM
0.9572222,4.9310074,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,TS+SVM
0.9469888,4.132765,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,TS+SVM
0.91979164,0.45964813,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,CSP+LDA
0.92569447,0.45923567,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,CSP+LDA
0.9322917,0.46022964,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,CSP+LDA
0.9127778,0.45993304,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,CSP+LDA
0.9084734,0.4601481,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,CSP+LDA
0.94555557,4.658368,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,TS+EL
0.93583333,4.6645775,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,TS+EL
0.96652776,4.418626,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,TS+EL
0.94645834,4.663419,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,TS+EL
0.93109244,4.5653257,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,TS+EL
0.94569445,0.6942098,1199.0,all_subjects,all_sessions_0,14,3,Zhou2016,TS+LR
0.9355556,0.69493294,1199.0,all_subjects,all_sessions_1,14,3,Zhou2016,TS+LR
0.96708333,0.69694304,1199.0,all_subjects,all_sessions_2,14,3,Zhou2016,TS+LR
0.9458333,0.69622517,1199.0,all_subjects,all_sessions_3,14,3,Zhou2016,TS+LR
0.932423,0.70024586,1199.0,all_subjects,all_sessions_4,14,3,Zhou2016,TS+LR
