pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,77.53±2.31,76.27±1.08,91.42±1.59
CSP+SVM,81.65±1.83,77.89±0.85,93.71±1.18
DLCSPauto+shLDA,77.51±2.31,76.27±1.08,91.48±1.59
FgMDM,83.00±0.82,76.18±1.01,93.34±1.45
LogVariance+LDA,73.86±1.03,75.37±1.16,90.33±0.66
LogVariance+SVM,73.62±0.78,75.47±1.15,90.33±1.12
MDM,62.06±3.06,75.73±1.22,86.03±4.82
TRCSP+LDA,75.39±2.02,76.30±0.89,91.33±1.96
TS+EL,84.78±1.01,76.26±1.02,94.10±0.60
TS+LR,84.73±1.01,76.27±1.01,94.11±0.56
TS+SVM,88.91±0.46,79.44±1.09,94.51±0.67
