dataset,pipeline,score,time,samples,channels,n_sessions
BNCI2014-004,CSP+LDA,0.8011387,0.07323905,144.88889,3.0,5.0
BNCI2014-004,CSP+SVM,0.79137605,12.096672,144.88889,3.0,5.0
BNCI2014-004,DLCSPauto+shLDA,0.7995065,0.0747712,144.88889,3.0,5.0
BNCI2014-004,FgMDM,0.79385394,0.08296081,144.88889,3.0,5.0
BNCI2014-004,LogVariance+LDA,0.78863555,0.0074913427,144.88889,3.0,5.0
BNCI2014-004,LogVariance+SVM,0.78482234,0.20958292,144.88889,3.0,5.0
BNCI2014-004,MDM,0.7772519,0.077429816,144.88889,3.0,5.0
BNCI2014-004,TRCSP+LDA,0.7960186,0.015068711,144.88889,3.0,5.0
BNCI2014-004,TS+EL,0.80002654,1.5430752,144.88889,3.0,5.0
BNCI2014-004,TS+LR,0.80176526,0.078086056,144.88889,3.0,5.0
BNCI2014-004,TS+SVM,0.79448855,1.8385092,144.88889,3.0,5.0
