dataset,pipeline,score,time,samples,channels,n_sessions
Zhou2016,CSP+LDA,0.9339761,0.07261763,99.916664,14.0,3.0
Zhou2016,CSP+SVM,0.934696,11.483011,99.916664,14.0,3.0
Zhou2016,DLCSPauto+shLDA,0.92880136,0.07320489,99.916664,14.0,3.0
Zhou2016,FgMDM,0.9264076,0.11146114,99.916664,14.0,3.0
Zhou2016,LogVariance+LDA,0.8853864,0.015290461,99.916664,14.0,3.0
Zhou2016,LogVariance+SVM,0.8831748,0.38265982,99.916664,14.0,3.0
Zhou2016,MDM,0.9042791,0.09640995,99.916664,14.0,3.0
Zhou2016,TRCSP+LDA,0.93172824,0.020949746,99.916664,14.0,3.0
Zhou2016,TS+EL,0.94722956,1.8892596,99.916664,14.0,3.0
Zhou2016,TS+LR,0.9455572,0.096470214,99.916664,14.0,3.0
Zhou2016,TS+SVM,0.9358851,2.0806146,99.916664,14.0,3.0
