score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.8393197,0.6821656,144.0,1,0train,22,2,BNCI2014-001,LogVariance+SVM
0.8164626,0.6856465,144.0,1,1test,22,2,BNCI2014-001,LogVariance+SVM
0.54380953,0.6714572,144.0,2,0train,22,2,BNCI2014-001,LogVariance+SVM
0.56836736,0.70904565,144.0,2,1test,22,2,BNCI2014-001,LogVariance+SVM
0.95619047,0.6784676,144.0,3,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9657143,0.6620426,144.0,3,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7039456,0.6778198,144.0,4,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5466667,0.6667727,144.0,4,1test,22,2,BNCI2014-001,LogVariance+SVM
0.48006803,0.6734528,144.0,5,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5178231,0.67663795,144.0,5,1test,22,2,BNCI2014-001,LogVariance+SVM
0.69877553,0.68657905,144.0,6,0train,22,2,BNCI2014-001,LogVariance+SVM
0.6787075,0.7166847,144.0,6,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7662585,0.7122784,144.0,7,0train,22,2,BNCI2014-001,LogVariance+SVM
0.8544898,0.67359483,144.0,7,1test,22,2,BNCI2014-001,LogVariance+SVM
0.9884354,0.66801274,144.0,8,0train,22,2,BNCI2014-001,LogVariance+SVM
0.974898,0.6578512,144.0,8,1test,22,2,BNCI2014-001,LogVariance+SVM
0.817483,0.69311845,144.0,9,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9589796,0.66251725,144.0,9,1test,22,2,BNCI2014-001,LogVariance+SVM
0.9278231,0.22952743,144.0,1,0train,22,2,BNCI2014-001,FgMDM
0.9613606,0.24130765,144.0,1,1test,22,2,BNCI2014-001,FgMDM
0.65380955,0.23907618,144.0,2,0train,22,2,BNCI2014-001,FgMDM
0.6489796,0.22856502,144.0,2,1test,22,2,BNCI2014-001,FgMDM
0.99333334,0.22934905,144.0,3,0train,22,2,BNCI2014-001,FgMDM
0.99319726,0.24723554,144.0,3,1test,22,2,BNCI2014-001,FgMDM
0.82816327,0.23760967,144.0,4,0train,22,2,BNCI2014-001,FgMDM
0.9205442,0.22882882,144.0,4,1test,22,2,BNCI2014-001,FgMDM
0.62081635,0.2272067,144.0,5,0train,22,2,BNCI2014-001,FgMDM
0.7397279,0.2335486,144.0,5,1test,22,2,BNCI2014-001,FgMDM
0.8457143,0.2389236,144.0,6,0train,22,2,BNCI2014-001,FgMDM
0.8161905,0.22400598,144.0,6,1test,22,2,BNCI2014-001,FgMDM
0.8244898,0.2331924,144.0,7,0train,22,2,BNCI2014-001,FgMDM
0.9742857,0.22793928,144.0,7,1test,22,2,BNCI2014-001,FgMDM
0.99904764,0.22856006,144.0,8,0train,22,2,BNCI2014-001,FgMDM
