score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.80669194,0.023039866,119.0,1,0,14,3,Zhou2016,TRCSP+LDA
0.898,0.019572258,100.0,1,1,14,3,Zhou2016,TRCSP+LDA
0.956,0.02130494,100.0,1,2,14,3,Zhou2016,TRCSP+LDA
0.942,0.01999507,100.0,2,0,14,3,Zhou2016,TRCSP+LDA
0.69876546,0.019133424,90.0,2,1,14,3,Zhou2016,TRCSP+LDA
0.924,0.021013688,100.0,2,2,14,3,Zhou2016,TRCSP+LDA
0.978,0.020664072,100.0,3,0,14,3,Zhou2016,TRCSP+LDA
0.982,0.019107629,100.0,3,1,14,3,Zhou2016,TRCSP+LDA
0.954,0.019797945,100.0,3,2,14,3,Zhou2016,TRCSP+LDA
0.99012345,0.018848658,90.0,4,0,14,3,Zhou2016,TRCSP+LDA
0.988,0.021403123,100.0,4,1,14,3,Zhou2016,TRCSP+LDA
0.968,0.020534277,100.0,4,2,14,3,Zhou2016,TRCSP+LDA
0.7857323,0.10549698,119.0,1,0,14,3,Zhou2016,MDM
0.886,0.09066892,100.0,1,1,14,3,Zhou2016,MDM
0.942,0.09306264,100.0,1,2,14,3,Zhou2016,MDM
0.896,0.09262123,100.0,2,0,14,3,Zhou2016,MDM
0.7111111,0.084793665,90.0,2,1,14,3,Zhou2016,MDM
0.898,0.091165446,100.0,2,2,14,3,Zhou2016,MDM
0.976,0.09405427,100.0,3,0,14,3,Zhou2016,MDM
0.836,0.087501146,100.0,3,1,14,3,Zhou2016,MDM
0.928,0.08968387,100.0,3,2,14,3,Zhou2016,MDM
0.9925926,0.081547454,90.0,4,0,14,3,Zhou2016,MDM
0.948,0.09770808,100.0,4,1,14,3,Zhou2016,MDM
0.97,0.09260349,100.0,4,2,14,3,Zhou2016,MDM
0.85871214,13.368804,119.0,1,0,14,3,Zhou2016,CSP+SVM
0.934,10.961578,100.0,1,1,14,3,Zhou2016,CSP+SVM
0.958,11.017902,100.0,1,2,14,3,Zhou2016,CSP+SVM
