pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,83.63±15.62,80.19±15.17,93.00±7.71
CSP+SVM,82.24±16.84,79.52±15.79,93.57±7.57
DLCSPauto+shLDA,83.56±15.53,79.99±15.28,93.11±7.10
FgMDM,86.65±12.54,79.40±15.38,92.40±6.38
LogVariance+LDA,78.15±15.20,78.89±15.00,88.57±9.48
LogVariance+SVM,77.29±16.20,78.42±15.52,87.93±8.05
MDM,80.65±15.85,77.74±16.25,90.93±7.53
TRCSP+LDA,80.31±16.07,80.00±15.27,93.84±6.59
TS+EL,86.44±13.42,80.03±15.42,94.74±6.58
TS+LR,87.61±12.24,80.19±15.46,94.57±6.39
TS+SVM,87.03±13.64,79.62±15.55,93.32±6.56
