score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.77244896,58.24606,144.0,1,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.7871429,59.765877,144.0,1,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.65632653,59.337654,144.0,2,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.68761903,82.5999,144.0,2,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.9395918,137.99275,144.0,3,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.9204082,64.4644,144.0,3,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.749932,142.29517,144.0,4,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.7222449,133.97853,144.0,4,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.59557825,89.04137,144.0,5,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5922449,97.443214,144.0,5,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5619048,59.18152,144.0,6,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5982313,82.930504,144.0,6,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.6923129,60.915268,144.0,7,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.57986397,85.961716,144.0,7,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.9809524,185.26321,144.0,8,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.9685714,146.02007,144.0,8,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.96564627,116.70686,144.0,9,0train,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.95408165,111.08478,144.0,9,1test,22,2,BNCI2014-001,Keras_EEGITNet,LeftRightImagery,WithinSession
0.6828283,82.40007,119.0,1,0,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.774,149.44083,100.0,1,1,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.698,65.17751,100.0,1,2,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.512,63.888927,100.0,2,0,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5604938,80.46017,90.0,2,1,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.544,96.66573,100.0,2,2,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.566,61.40242,100.0,3,0,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.538,69.814674,100.0,3,1,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.676,60.962933,100.0,3,2,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.72839504,63.16915,90.0,4,0,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.928,117.51718,100.0,4,1,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.942,198.9053,100.0,4,2,14,3,Zhou2016,Keras_EEGITNet,LeftRightImagery,WithinSession
0.71666664,36.723717,120.0,1,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.525,35.628407,120.0,1,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.7515625,59.11768,160.0,1,2train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.5890625,60.628445,160.0,1,3test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.49296874,36.73355,160.0,1,4test,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.44027779,33.641514,120.0,2,0train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
0.50972223,44.34339,120.0,2,1train,3,5,BNCI2014-004,Keras_EEGITNet,LeftRightImagery,WithinSession
