score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.9961905,98.10861,144.0,3,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.55306125,46.7275,144.0,4,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.5257143,39.42475,144.0,4,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.77034014,52.895306,144.0,5,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.55741495,38.48057,144.0,5,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.715034,52.48191,144.0,6,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.58639455,38.623337,144.0,6,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.52489793,49.136364,144.0,7,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.54931974,29.04307,144.0,7,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.99333334,83.23229,144.0,8,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9961905,94.78703,144.0,8,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9846939,99.40732,144.0,9,0train,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9706122,67.064095,144.0,9,1test,22,2,BNCI2014-001,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9540404,95.340576,119.0,1,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.97,88.51183,100.0,1,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.972,94.18334,100.0,1,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.92,90.59222,100.0,2,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.7728395,79.95097,90.0,2,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.712,54.06776,100.0,2,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.938,80.3601,100.0,3,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.954,78.71793,100.0,3,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.944,57.113335,100.0,3,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.97530866,98.67854,90.0,4,0,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.994,90.38862,100.0,4,1,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.976,90.61408,100.0,4,2,14,3,Zhou2016,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.7736111,46.827915,120.0,1,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.54305553,36.334473,120.0,1,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.7515625,34.299248,160.0,1,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.640625,22.93483,160.0,1,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.46875,17.981485,160.0,1,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.42777777,16.022533,120.0,2,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.4888889,20.932743,120.0,2,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.5992187,20.351322,160.0,2,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.5125,22.115807,120.0,2,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.50078124,14.724083,160.0,2,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.39444444,23.381933,120.0,3,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.49166667,22.463114,120.0,3,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.578125,15.774708,160.0,3,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.52265626,19.840794,160.0,3,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.5523437,19.255247,160.0,3,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.8597222,44.14292,120.0,4,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9071429,38.607204,140.0,4,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.98125,37.708748,160.0,4,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.95625,49.234566,160.0,4,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9125,32.810112,160.0,4,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.4263889,21.526672,120.0,5,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.65816325,22.415524,140.0,5,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9328125,46.59718,160.0,5,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.940625,45.12482,160.0,5,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.7359375,38.895576,160.0,5,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.5541667,18.574438,120.0,6,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.49305555,15.149163,120.0,6,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.59375,29.132095,160.0,6,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.59453124,22.882807,160.0,6,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.57421875,31.359335,160.0,6,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.68333334,28.030977,120.0,7,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.5708333,25.710743,120.0,7,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9875,48.125397,160.0,7,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9117187,38.19002,160.0,7,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9273437,39.58502,160.0,7,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.58984375,37.06205,160.0,8,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.7111111,41.37628,120.0,8,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9546875,51.540108,160.0,8,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.92265624,24.785679,160.0,8,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9921875,51.42151,160.0,8,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.51666665,17.08147,120.0,9,0train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.5236111,27.514238,120.0,9,1train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.90625,31.397291,160.0,9,2train,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.9265625,38.620667,160.0,9,3test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
0.79296875,45.282536,160.0,9,4test,3,5,BNCI2014-004,Keras_EEGNet_8_2,LeftRightImagery,WithinSession
