score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation
0.45367348,376.50485,144.0,5,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5157823,202.96793,144.0,5,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5463946,199.61116,144.0,6,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5414966,396.011,144.0,6,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5780272,264.8377,144.0,7,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.4514966,240.9604,144.0,7,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.7715646,403.9817,144.0,8,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.8428571,545.745,144.0,8,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.45061225,199.89165,144.0,9,0train,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.9242177,532.78406,144.0,9,1test,22,2,BNCI2014-001,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.8484849,133.3351,119.0,1,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.674,81.78812,100.0,1,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.666,81.37982,100.0,1,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.586,115.060074,100.0,2,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5925926,105.69118,90.0,2,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.726,112.71844,100.0,2,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.764,79.16796,100.0,3,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.846,161.11105,100.0,3,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.886,105.85504,100.0,3,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.908642,167.78644,90.0,4,0,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.854,136.89699,100.0,4,1,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.894,137.53983,100.0,4,2,14,3,Zhou2016,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.521875,67.66882,160.0,1,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.37916666,62.734562,120.0,2,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.55138886,29.268427,120.0,2,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5835937,100.93233,160.0,2,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.41944444,72.20028,120.0,2,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.41328126,65.2129,160.0,2,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.43333334,35.080536,120.0,3,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.43472221,29.37227,120.0,3,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.509375,167.31145,160.0,3,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.43515626,54.699883,160.0,3,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5445312,113.49037,160.0,3,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.7,43.640827,120.0,4,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.7132653,58.392136,140.0,4,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.96484375,149.58224,160.0,4,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.89453125,122.21269,160.0,4,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.8875,107.75621,160.0,4,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.42916667,43.690308,120.0,5,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5214286,33.59525,140.0,5,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.53515625,52.728397,160.0,5,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.55,74.54243,160.0,5,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.67109376,109.41488,160.0,5,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.55277777,40.492996,120.0,6,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.48055556,29.368763,120.0,6,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.609375,107.07284,160.0,6,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.48671874,69.79774,160.0,6,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.4390625,57.045868,160.0,6,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5236111,29.556076,120.0,7,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.575,46.362427,120.0,7,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.92578125,114.366005,160.0,7,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.678125,52.931244,160.0,7,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.8328125,85.524864,160.0,7,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.48359376,117.25963,160.0,8,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.5361111,29.167105,120.0,8,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.95703125,189.50755,160.0,8,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.9390625,115.01983,160.0,8,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.98828125,187.94463,160.0,8,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.4875,48.934082,120.0,9,0train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.44027779,29.152136,120.0,9,1train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.78984374,79.90064,160.0,9,2train,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.859375,76.12999,160.0,9,3test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
0.74140626,71.86704,160.0,9,4test,3,5,BNCI2014-004,Keras_EEGTCNet,LeftRightImagery,WithinSession
