samples,subject,channels,n_sessions,dataset,pipeline,score,time
144.0,1,22,2,BNCI2014-001,CSP+SVM,0.95462584,0.24605042
144.0,1,22,2,BNCI2014-001,LogVariance+LDA,0.8564059,0.13791293
144.0,1,22,2,BNCI2014-001,LogVariance+SVM,0.85562354,0.137673
144.0,1,22,2,BNCI2014-001,MDM,0.94243765,0.2361023
144.0,1,22,2,BNCI2014-001,TRCSP+LDA,0.888356,0.24934776
144.0,1,22,2,BNCI2014-001,TS+LR,0.9669388,0.24760653
144.0,1,22,2,BNCI2014-001,TS+SVM,0.956678,0.24703659
144.0,2,22,2,BNCI2014-001,CSP+SVM,0.66854876,0.244946
144.0,2,22,2,BNCI2014-001,LogVariance+LDA,0.58763033,0.13987505
144.0,2,22,2,BNCI2014-001,LogVariance+SVM,0.5567687,0.13669111
144.0,2,22,2,BNCI2014-001,MDM,0.57717687,0.23705108
144.0,2,22,2,BNCI2014-001,TRCSP+LDA,0.6199093,0.24962479
144.0,2,22,2,BNCI2014-001,TS+LR,0.689195,0.24636213
144.0,2,22,2,BNCI2014-001,TS+SVM,0.58520406,0.24615031
144.0,3,22,2,BNCI2014-001,CSP+SVM,0.99309516,0.24493545
144.0,3,22,2,BNCI2014-001,LogVariance+LDA,0.9462018,0.13857742
144.0,3,22,2,BNCI2014-001,LogVariance+SVM,0.9523923,0.13764231
144.0,3,22,2,BNCI2014-001,MDM,0.9841836,0.23701246
144.0,3,22,2,BNCI2014-001,TRCSP+LDA,0.9855555,0.2501772
144.0,3,22,2,BNCI2014-001,TS+LR,0.99532884,0.24661525
144.0,3,22,2,BNCI2014-001,TS+SVM,0.9953401,0.2472551
144.0,4,22,2,BNCI2014-001,CSP+SVM,0.86638325,0.24078089
144.0,4,22,2,BNCI2014-001,LogVariance+LDA,0.74178004,0.13703169
144.0,4,22,2,BNCI2014-001,LogVariance+SVM,0.7125624,0.13761157
144.0,4,22,2,BNCI2014-001,MDM,0.7763719,0.22965737
144.0,4,22,2,BNCI2014-001,TRCSP+LDA,0.7761678,0.24313992
144.0,4,22,2,BNCI2014-001,TS+LR,0.8769841,0.23921676
144.0,4,22,2,BNCI2014-001,TS+SVM,0.86446714,0.24425732
144.0,5,22,2,BNCI2014-001,CSP+SVM,0.6349547,0.24556142
144.0,5,22,2,BNCI2014-001,LogVariance+LDA,0.52148527,0.13821508
144.0,5,22,2,BNCI2014-001,LogVariance+SVM,0.5363719,0.13839084
144.0,5,22,2,BNCI2014-001,MDM,0.56019276,0.23493452
144.0,5,22,2,BNCI2014-001,TRCSP+LDA,0.6156803,0.25047687
144.0,5,22,2,BNCI2014-001,TS+LR,0.6443197,0.24591272
144.0,5,22,2,BNCI2014-001,TS+SVM,0.61133784,0.24500656
144.0,6,22,2,BNCI2014-001,CSP+SVM,0.83393425,0.24632952
144.0,6,22,2,BNCI2014-001,LogVariance+LDA,0.67580503,0.13909869
144.0,6,22,2,BNCI2014-001,LogVariance+SVM,0.6573696,0.1374469
144.0,6,22,2,BNCI2014-001,MDM,0.6996598,0.23256044
144.0,6,22,2,BNCI2014-001,TRCSP+LDA,0.73227894,0.24825303
144.0,6,22,2,BNCI2014-001,TS+LR,0.8314399,0.24572776
144.0,6,22,2,BNCI2014-001,TS+SVM,0.7877438,0.24223787
144.0,7,22,2,BNCI2014-001,CSP+SVM,0.9287188,0.23771627
144.0,7,22,2,BNCI2014-001,LogVariance+LDA,0.755034,0.13963974
144.0,7,22,2,BNCI2014-001,LogVariance+SVM,0.6155102,0.13563013
144.0,7,22,2,BNCI2014-001,MDM,0.8453288,0.23303698
144.0,7,22,2,BNCI2014-001,TRCSP+LDA,0.7500567,0.24242145
144.0,7,22,2,BNCI2014-001,TS+LR,0.91655326,0.23834789
144.0,7,22,2,BNCI2014-001,TS+SVM,0.8993197,0.24029867
144.0,8,22,2,BNCI2014-001,CSP+SVM,0.997619,0.24320187
144.0,8,22,2,BNCI2014-001,LogVariance+LDA,0.9676644,0.13820666
144.0,8,22,2,BNCI2014-001,LogVariance+SVM,0.9611451,0.13649134
144.0,8,22,2,BNCI2014-001,MDM,0.99436504,0.2361591
144.0,8,22,2,BNCI2014-001,TRCSP+LDA,0.9784126,0.24869956
144.0,8,22,2,BNCI2014-001,TS+LR,0.9980952,0.244678
144.0,8,22,2,BNCI2014-001,TS+SVM,0.9980839,0.24345458
144.0,9,22,2,BNCI2014-001,CSP+SVM,0.9080045,0.2435444
144.0,9,22,2,BNCI2014-001,LogVariance+LDA,0.8494105,0.13713096
144.0,9,22,2,BNCI2014-001,LogVariance+SVM,0.87007934,0.13774846
144.0,9,22,2,BNCI2014-001,MDM,0.87413836,0.23610036
144.0,9,22,2,BNCI2014-001,TRCSP+LDA,0.88011336,0.24721506
144.0,9,22,2,BNCI2014-001,TS+LR,0.93424034,0.24311137
144.0,9,22,2,BNCI2014-001,TS+SVM,0.93842405,0.24626397
