samples,subject,channels,n_sessions,dataset,pipeline,score,time
300.0,1,128,1,GrosseWentrup2009,CSP+SVM,0.7228889,10.184128
300.0,1,128,1,GrosseWentrup2009,LogVariance+LDA,0.53333336,3.1360085
300.0,1,128,1,GrosseWentrup2009,LogVariance+SVM,0.6153333,3.1395667
300.0,1,128,1,GrosseWentrup2009,MDM,0.57607406,9.164294
300.0,1,128,1,GrosseWentrup2009,TRCSP+LDA,0.61348146,10.0789995
300.0,1,128,1,GrosseWentrup2009,TS+LR,0.70666665,9.946236
300.0,1,128,1,GrosseWentrup2009,TS+SVM,0.59125924,10.135165
300.0,10,128,1,GrosseWentrup2009,CSP+SVM,0.9345185,10.777849
300.0,10,128,1,GrosseWentrup2009,LogVariance+LDA,0.694,3.150183
300.0,10,128,1,GrosseWentrup2009,LogVariance+SVM,0.8283704,3.1635885
300.0,10,128,1,GrosseWentrup2009,MDM,0.55748147,9.848344
300.0,10,128,1,GrosseWentrup2009,TRCSP+LDA,0.75,10.726858
300.0,10,128,1,GrosseWentrup2009,TS+LR,0.9205186,10.411271
300.0,10,128,1,GrosseWentrup2009,TS+SVM,0.6617037,10.757312
300.0,2,128,1,GrosseWentrup2009,CSP+SVM,0.955037,10.051441
300.0,2,128,1,GrosseWentrup2009,LogVariance+LDA,0.82318515,3.1266792
300.0,2,128,1,GrosseWentrup2009,LogVariance+SVM,0.8723704,3.1373951
300.0,2,128,1,GrosseWentrup2009,MDM,0.70207405,9.035914
300.0,2,128,1,GrosseWentrup2009,TRCSP+LDA,0.8071852,10.017515
300.0,2,128,1,GrosseWentrup2009,TS+LR,0.9452593,9.674727
300.0,2,128,1,GrosseWentrup2009,TS+SVM,0.8382222,9.965465
300.0,3,128,1,GrosseWentrup2009,CSP+SVM,0.9848889,10.101072
300.0,3,128,1,GrosseWentrup2009,LogVariance+LDA,0.65881485,3.114568
300.0,3,128,1,GrosseWentrup2009,LogVariance+SVM,0.696963,3.1168492
300.0,3,128,1,GrosseWentrup2009,MDM,0.6851852,9.108956
300.0,3,128,1,GrosseWentrup2009,TRCSP+LDA,0.9072593,10.076416
300.0,3,128,1,GrosseWentrup2009,TS+LR,0.98066664,9.824674
300.0,3,128,1,GrosseWentrup2009,TS+SVM,0.88451856,10.019372
300.0,4,128,1,GrosseWentrup2009,CSP+SVM,0.996,11.120968
300.0,4,128,1,GrosseWentrup2009,LogVariance+LDA,0.79777783,3.1481526
300.0,4,128,1,GrosseWentrup2009,LogVariance+SVM,0.8101482,3.143494
300.0,4,128,1,GrosseWentrup2009,MDM,0.737037,10.170597
300.0,4,128,1,GrosseWentrup2009,TRCSP+LDA,0.9851852,11.037081
300.0,4,128,1,GrosseWentrup2009,TS+LR,0.9961481,10.853073
300.0,4,128,1,GrosseWentrup2009,TS+SVM,0.9614074,11.19959
300.0,5,128,1,GrosseWentrup2009,CSP+SVM,0.9825185,11.218611
300.0,5,128,1,GrosseWentrup2009,LogVariance+LDA,0.85237044,3.1896465
300.0,5,128,1,GrosseWentrup2009,LogVariance+SVM,0.9134815,3.196148
300.0,5,128,1,GrosseWentrup2009,MDM,0.67311114,10.162461
300.0,5,128,1,GrosseWentrup2009,TRCSP+LDA,0.9467408,11.145354
300.0,5,128,1,GrosseWentrup2009,TS+LR,0.97896296,10.942067
300.0,5,128,1,GrosseWentrup2009,TS+SVM,0.90948147,11.180355
300.0,6,128,1,GrosseWentrup2009,CSP+SVM,0.97881484,10.132717
300.0,6,128,1,GrosseWentrup2009,LogVariance+LDA,0.8428889,3.1411028
300.0,6,128,1,GrosseWentrup2009,LogVariance+SVM,0.91896296,3.1345055
300.0,6,128,1,GrosseWentrup2009,MDM,0.6650371,9.140484
300.0,6,128,1,GrosseWentrup2009,TRCSP+LDA,0.93688893,10.055925
300.0,6,128,1,GrosseWentrup2009,TS+LR,0.97496295,9.859216
300.0,6,128,1,GrosseWentrup2009,TS+SVM,0.8803704,10.090817
300.0,7,128,1,GrosseWentrup2009,CSP+SVM,0.5851111,10.713857
300.0,7,128,1,GrosseWentrup2009,LogVariance+LDA,0.50637037,3.1411674
300.0,7,128,1,GrosseWentrup2009,LogVariance+SVM,0.56688887,3.159702
300.0,7,128,1,GrosseWentrup2009,MDM,0.50674075,9.838425
300.0,7,128,1,GrosseWentrup2009,TRCSP+LDA,0.5403704,10.589165
300.0,7,128,1,GrosseWentrup2009,TS+LR,0.5714074,10.502263
300.0,7,128,1,GrosseWentrup2009,TS+SVM,0.5031111,10.6522
300.0,8,128,1,GrosseWentrup2009,CSP+SVM,0.78259254,10.231826
300.0,8,128,1,GrosseWentrup2009,LogVariance+LDA,0.6626666,3.1680706
300.0,8,128,1,GrosseWentrup2009,LogVariance+SVM,0.72911114,3.1862023
300.0,8,128,1,GrosseWentrup2009,MDM,0.52022225,9.176164
300.0,8,128,1,GrosseWentrup2009,TRCSP+LDA,0.6056296,10.147095
300.0,8,128,1,GrosseWentrup2009,TS+LR,0.7681481,9.897738
300.0,8,128,1,GrosseWentrup2009,TS+SVM,0.56355554,10.173332
300.0,9,128,1,GrosseWentrup2009,CSP+SVM,0.88251853,10.135293
300.0,9,128,1,GrosseWentrup2009,LogVariance+LDA,0.73874074,3.1620142
300.0,9,128,1,GrosseWentrup2009,LogVariance+SVM,0.7442963,3.172473
300.0,9,128,1,GrosseWentrup2009,MDM,0.60918516,9.099448
300.0,9,128,1,GrosseWentrup2009,TRCSP+LDA,0.7814815,10.071584
300.0,9,128,1,GrosseWentrup2009,TS+LR,0.871037,9.850642
300.0,9,128,1,GrosseWentrup2009,TS+SVM,0.7271852,10.031024
