samples,subject,channels,n_sessions,dataset,pipeline,score,time
36.0,100,64,1,PhysionetMotorImagery,CSP+SVM,0.5736111,0.27118766
36.0,100,64,1,PhysionetMotorImagery,LogVariance+LDA,0.7375,0.06982538
36.0,100,64,1,PhysionetMotorImagery,LogVariance+SVM,0.5763889,0.067833744
36.0,100,64,1,PhysionetMotorImagery,MDM,0.37638888,0.28896308
36.0,100,64,1,PhysionetMotorImagery,TRCSP+LDA,0.35972223,0.277107
36.0,100,64,1,PhysionetMotorImagery,TS+LR,0.5222222,0.27293107
36.0,100,64,1,PhysionetMotorImagery,TS+SVM,0.42083335,0.27430496
43.0,104,64,1,PhysionetMotorImagery,CSP+SVM,0.6775,0.3147343
43.0,104,64,1,PhysionetMotorImagery,LogVariance+LDA,0.51500005,0.08205756
43.0,104,64,1,PhysionetMotorImagery,LogVariance+SVM,0.6741667,0.081705235
43.0,104,64,1,PhysionetMotorImagery,MDM,0.5175,0.3123864
43.0,104,64,1,PhysionetMotorImagery,TRCSP+LDA,0.4175,0.31915876
43.0,104,64,1,PhysionetMotorImagery,TS+LR,0.64166665,0.3161004
43.0,104,64,1,PhysionetMotorImagery,TS+SVM,0.5308333,0.3126686
45.0,1,64,1,PhysionetMotorImagery,CSP+SVM,0.9333333,0.32679433
45.0,1,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6133333,0.086153366
45.0,1,64,1,PhysionetMotorImagery,LogVariance+SVM,0.64000005,0.08277527
45.0,1,64,1,PhysionetMotorImagery,MDM,0.6566667,0.33372626
45.0,1,64,1,PhysionetMotorImagery,TRCSP+LDA,0.33666667,0.3316608
45.0,1,64,1,PhysionetMotorImagery,TS+LR,0.89000005,0.3268839
45.0,1,64,1,PhysionetMotorImagery,TS+SVM,0.63,0.3272864
45.0,10,64,1,PhysionetMotorImagery,CSP+SVM,0.61333334,0.32963693
45.0,10,64,1,PhysionetMotorImagery,LogVariance+LDA,0.60999995,0.08735571
45.0,10,64,1,PhysionetMotorImagery,LogVariance+SVM,0.63,0.08584884
45.0,10,64,1,PhysionetMotorImagery,MDM,0.4333333,0.3255681
45.0,10,64,1,PhysionetMotorImagery,TRCSP+LDA,0.49666664,0.33647874
45.0,10,64,1,PhysionetMotorImagery,TS+LR,0.59999996,0.33555707
45.0,10,64,1,PhysionetMotorImagery,TS+SVM,0.4666667,0.3316629
45.0,101,64,1,PhysionetMotorImagery,CSP+SVM,0.36333334,0.3310293
45.0,101,64,1,PhysionetMotorImagery,LogVariance+LDA,0.36666667,0.08927215
45.0,101,64,1,PhysionetMotorImagery,LogVariance+SVM,0.28,0.086470075
45.0,101,64,1,PhysionetMotorImagery,MDM,0.33333334,0.32094768
45.0,101,64,1,PhysionetMotorImagery,TRCSP+LDA,0.43333334,0.33612326
45.0,101,64,1,PhysionetMotorImagery,TS+LR,0.35333332,0.33291334
45.0,101,64,1,PhysionetMotorImagery,TS+SVM,0.32,0.33198342
45.0,102,64,1,PhysionetMotorImagery,CSP+SVM,0.79333335,0.32484162
45.0,102,64,1,PhysionetMotorImagery,LogVariance+LDA,0.47,0.08611637
45.0,102,64,1,PhysionetMotorImagery,LogVariance+SVM,0.67,0.08315092
45.0,102,64,1,PhysionetMotorImagery,MDM,0.6066667,0.31767395
45.0,102,64,1,PhysionetMotorImagery,TRCSP+LDA,0.46333334,0.33085558
45.0,102,64,1,PhysionetMotorImagery,TS+LR,0.7633333,0.3238459
45.0,102,64,1,PhysionetMotorImagery,TS+SVM,0.67333335,0.3272097
45.0,103,64,1,PhysionetMotorImagery,CSP+SVM,0.72333336,0.32468268
45.0,103,64,1,PhysionetMotorImagery,LogVariance+LDA,0.59,0.086414926
45.0,103,64,1,PhysionetMotorImagery,LogVariance+SVM,0.6133333,0.086290754
45.0,103,64,1,PhysionetMotorImagery,MDM,0.42,0.33079687
45.0,103,64,1,PhysionetMotorImagery,TRCSP+LDA,0.48666668,0.33275497
45.0,103,64,1,PhysionetMotorImagery,TS+LR,0.68333334,0.33178863
45.0,103,64,1,PhysionetMotorImagery,TS+SVM,0.45666668,0.32606563
45.0,105,64,1,PhysionetMotorImagery,CSP+SVM,0.83666664,0.32921374
45.0,105,64,1,PhysionetMotorImagery,LogVariance+LDA,0.7266667,0.09047977
45.0,105,64,1,PhysionetMotorImagery,LogVariance+SVM,0.6666667,0.08567081
45.0,105,64,1,PhysionetMotorImagery,MDM,0.59666663,0.3420259
45.0,105,64,1,PhysionetMotorImagery,TRCSP+LDA,0.37333333,0.33586535
45.0,105,64,1,PhysionetMotorImagery,TS+LR,0.81,0.33336723
45.0,105,64,1,PhysionetMotorImagery,TS+SVM,0.6233333,0.3310388
45.0,106,64,1,PhysionetMotorImagery,CSP+SVM,0.56,0.32857725
45.0,106,64,1,PhysionetMotorImagery,LogVariance+LDA,0.4333333,0.0873349
45.0,106,64,1,PhysionetMotorImagery,LogVariance+SVM,0.50666666,0.08611292
45.0,106,64,1,PhysionetMotorImagery,MDM,0.45666668,0.32189915
45.0,106,64,1,PhysionetMotorImagery,TRCSP+LDA,0.43666667,0.33274388
45.0,106,64,1,PhysionetMotorImagery,TS+LR,0.52666664,0.33122528
45.0,106,64,1,PhysionetMotorImagery,TS+SVM,0.38333333,0.33012024
45.0,107,64,1,PhysionetMotorImagery,CSP+SVM,0.6466667,0.3554144
45.0,107,64,1,PhysionetMotorImagery,LogVariance+LDA,0.45666668,0.08716779
45.0,107,64,1,PhysionetMotorImagery,LogVariance+SVM,0.5,0.08593104
45.0,107,64,1,PhysionetMotorImagery,MDM,0.6033333,0.34820175
45.0,107,64,1,PhysionetMotorImagery,TRCSP+LDA,0.47666666,0.36093757
45.0,107,64,1,PhysionetMotorImagery,TS+LR,0.62333333,0.35549745
45.0,107,64,1,PhysionetMotorImagery,TS+SVM,0.5566667,0.3480537
45.0,108,64,1,PhysionetMotorImagery,CSP+SVM,0.9233334,0.40418932
45.0,108,64,1,PhysionetMotorImagery,LogVariance+LDA,0.74333334,0.08734727
45.0,108,64,1,PhysionetMotorImagery,LogVariance+SVM,0.74666667,0.08485454
45.0,108,64,1,PhysionetMotorImagery,MDM,0.46333334,0.39637506
45.0,108,64,1,PhysionetMotorImagery,TRCSP+LDA,0.5133333,0.41266418
45.0,108,64,1,PhysionetMotorImagery,TS+LR,0.8866666,0.40706852
45.0,108,64,1,PhysionetMotorImagery,TS+SVM,0.56666666,0.4010621
45.0,109,64,1,PhysionetMotorImagery,CSP+SVM,0.35666668,0.33087242
45.0,109,64,1,PhysionetMotorImagery,LogVariance+LDA,0.5133333,0.08885235
45.0,109,64,1,PhysionetMotorImagery,LogVariance+SVM,0.41,0.08551442
45.0,109,64,1,PhysionetMotorImagery,MDM,0.39333335,0.3222463
45.0,109,64,1,PhysionetMotorImagery,TRCSP+LDA,0.51666665,0.33410558
45.0,109,64,1,PhysionetMotorImagery,TS+LR,0.38,0.33190122
45.0,109,64,1,PhysionetMotorImagery,TS+SVM,0.34666666,0.33110312
45.0,11,64,1,PhysionetMotorImagery,CSP+SVM,0.8833333,0.35047385
45.0,11,64,1,PhysionetMotorImagery,LogVariance+LDA,0.78999996,0.08511784
45.0,11,64,1,PhysionetMotorImagery,LogVariance+SVM,0.81,0.08461728
45.0,11,64,1,PhysionetMotorImagery,MDM,0.56666666,0.34623596
45.0,11,64,1,PhysionetMotorImagery,TRCSP+LDA,0.48333332,0.35675162
45.0,11,64,1,PhysionetMotorImagery,TS+LR,0.8633334,0.35444942
45.0,11,64,1,PhysionetMotorImagery,TS+SVM,0.61,0.35308588
45.0,12,64,1,PhysionetMotorImagery,CSP+SVM,0.84666663,0.34310663
45.0,12,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6266666,0.086195566
45.0,12,64,1,PhysionetMotorImagery,LogVariance+SVM,0.59999996,0.08364391
45.0,12,64,1,PhysionetMotorImagery,MDM,0.48000002,0.3422433
45.0,12,64,1,PhysionetMotorImagery,TRCSP+LDA,0.62666667,0.35079637
45.0,12,64,1,PhysionetMotorImagery,TS+LR,0.80999994,0.34685758
45.0,12,64,1,PhysionetMotorImagery,TS+SVM,0.5933333,0.34449768
45.0,13,64,1,PhysionetMotorImagery,CSP+SVM,0.68,0.358219
45.0,13,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6033333,0.086273514
45.0,13,64,1,PhysionetMotorImagery,LogVariance+SVM,0.6466667,0.08431482
45.0,13,64,1,PhysionetMotorImagery,MDM,0.46333334,0.35078892
45.0,13,64,1,PhysionetMotorImagery,TRCSP+LDA,0.59,0.36208192
45.0,13,64,1,PhysionetMotorImagery,TS+LR,0.68,0.3600544
45.0,13,64,1,PhysionetMotorImagery,TS+SVM,0.42333332,0.35568467
45.0,14,64,1,PhysionetMotorImagery,CSP+SVM,0.5333333,0.32992277
45.0,14,64,1,PhysionetMotorImagery,LogVariance+LDA,0.5733333,0.085950114
45.0,14,64,1,PhysionetMotorImagery,LogVariance+SVM,0.6566667,0.08593736
45.0,14,64,1,PhysionetMotorImagery,MDM,0.41666666,0.33190057
45.0,14,64,1,PhysionetMotorImagery,TRCSP+LDA,0.42666665,0.34006575
45.0,14,64,1,PhysionetMotorImagery,TS+LR,0.5133333,0.33781633
45.0,14,64,1,PhysionetMotorImagery,TS+SVM,0.36,0.3377886
45.0,15,64,1,PhysionetMotorImagery,CSP+SVM,0.9333333,0.3528233
45.0,15,64,1,PhysionetMotorImagery,LogVariance+LDA,0.5833333,0.08718591
45.0,15,64,1,PhysionetMotorImagery,LogVariance+SVM,0.6166667,0.08595959
45.0,15,64,1,PhysionetMotorImagery,MDM,0.6666667,0.34803227
45.0,15,64,1,PhysionetMotorImagery,TRCSP+LDA,0.7066667,0.35752425
45.0,15,64,1,PhysionetMotorImagery,TS+LR,0.89000005,0.3527236
45.0,15,64,1,PhysionetMotorImagery,TS+SVM,0.67333335,0.35478225
45.0,16,64,1,PhysionetMotorImagery,CSP+SVM,0.57,0.34984985
45.0,16,64,1,PhysionetMotorImagery,LogVariance+LDA,0.56,0.08543825
45.0,16,64,1,PhysionetMotorImagery,LogVariance+SVM,0.4666667,0.0850721
45.0,16,64,1,PhysionetMotorImagery,MDM,0.34333333,0.34962523
45.0,16,64,1,PhysionetMotorImagery,TRCSP+LDA,0.34,0.3546486
45.0,16,64,1,PhysionetMotorImagery,TS+LR,0.50333333,0.35451075
45.0,16,64,1,PhysionetMotorImagery,TS+SVM,0.35666665,0.347914
45.0,17,64,1,PhysionetMotorImagery,CSP+SVM,0.42666668,0.32707965
45.0,17,64,1,PhysionetMotorImagery,LogVariance+LDA,0.4433333,0.08572718
45.0,17,64,1,PhysionetMotorImagery,LogVariance+SVM,0.46333334,0.08438764
45.0,17,64,1,PhysionetMotorImagery,MDM,0.38,0.34333363
45.0,17,64,1,PhysionetMotorImagery,TRCSP+LDA,0.40666664,0.33025867
45.0,17,64,1,PhysionetMotorImagery,TS+LR,0.39666668,0.32852367
45.0,17,64,1,PhysionetMotorImagery,TS+SVM,0.36,0.33232364
45.0,18,64,1,PhysionetMotorImagery,CSP+SVM,0.60999995,0.3263738
45.0,18,64,1,PhysionetMotorImagery,LogVariance+LDA,0.71000004,0.08504077
