samples,subject,channels,n_sessions,dataset,pipeline,score,time
240.0,1,128,1,Schirrmeister2017,CSP+SVM,0.8671296,7.2199774
240.0,1,128,1,Schirrmeister2017,LogVariance+LDA,0.5388889,1.9225941
240.0,1,128,1,Schirrmeister2017,LogVariance+SVM,0.6488426,1.9414624
240.0,1,128,1,Schirrmeister2017,MDM,0.5545139,6.6786017
240.0,1,128,1,Schirrmeister2017,TRCSP+LDA,0.54293984,7.3780737
240.0,1,128,1,Schirrmeister2017,TS+LR,0.84699076,7.0739956
240.0,1,128,1,Schirrmeister2017,TS+SVM,0.6273148,7.2921524
408.0,8,128,1,Schirrmeister2017,CSP+SVM,0.9650695,13.825746
408.0,8,128,1,Schirrmeister2017,LogVariance+LDA,0.64562863,3.2511683
408.0,8,128,1,Schirrmeister2017,LogVariance+SVM,0.6325471,3.263755
408.0,8,128,1,Schirrmeister2017,MDM,0.5645509,12.076875
408.0,8,128,1,Schirrmeister2017,TRCSP+LDA,0.755925,13.389423
408.0,8,128,1,Schirrmeister2017,TS+LR,0.9565279,13.154788
408.0,8,128,1,Schirrmeister2017,TS+SVM,0.64098555,13.74557
440.0,5,128,1,Schirrmeister2017,CSP+SVM,0.85816115,15.031664
440.0,5,128,1,Schirrmeister2017,LogVariance+LDA,0.5755854,3.6249125
440.0,5,128,1,Schirrmeister2017,LogVariance+SVM,0.61611575,3.6875727
440.0,5,128,1,Schirrmeister2017,MDM,0.5377066,12.942834
440.0,5,128,1,Schirrmeister2017,TRCSP+LDA,0.6960055,14.631846
440.0,5,128,1,Schirrmeister2017,TS+LR,0.8515151,14.219505
440.0,5,128,1,Schirrmeister2017,TS+SVM,0.63257575,14.92209
480.0,13,128,1,Schirrmeister2017,CSP+SVM,0.8728878,15.974354
480.0,13,128,1,Schirrmeister2017,LogVariance+LDA,0.6660879,3.9123461
480.0,13,128,1,Schirrmeister2017,LogVariance+SVM,0.66825813,3.9406862
480.0,13,128,1,Schirrmeister2017,MDM,0.608941,13.484422
480.0,13,128,1,Schirrmeister2017,TRCSP+LDA,0.8032407,15.513179
480.0,13,128,1,Schirrmeister2017,TS+LR,0.87222224,15.161671
480.0,13,128,1,Schirrmeister2017,TS+SVM,0.73761576,15.953038
486.0,2,128,1,Schirrmeister2017,CSP+SVM,0.94241405,16.09504
486.0,2,128,1,Schirrmeister2017,LogVariance+LDA,0.72001886,3.967149
486.0,2,128,1,Schirrmeister2017,LogVariance+SVM,0.75721574,3.9981854
486.0,2,128,1,Schirrmeister2017,MDM,0.6915162,13.6146965
486.0,2,128,1,Schirrmeister2017,TRCSP+LDA,0.887618,15.62066
486.0,2,128,1,Schirrmeister2017,TS+LR,0.939395,15.139577
486.0,2,128,1,Schirrmeister2017,TS+SVM,0.8630559,16.231379
520.0,10,128,1,Schirrmeister2017,CSP+SVM,0.9797584,18.97767
520.0,10,128,1,Schirrmeister2017,LogVariance+LDA,0.79282546,4.1692276
520.0,10,128,1,Schirrmeister2017,LogVariance+SVM,0.8484221,4.207958
520.0,10,128,1,Schirrmeister2017,MDM,0.78387576,16.21356
520.0,10,128,1,Schirrmeister2017,TRCSP+LDA,0.95036983,18.564398
520.0,10,128,1,Schirrmeister2017,TS+LR,0.9786243,18.01219
520.0,10,128,1,Schirrmeister2017,TS+SVM,0.95453644,19.238424
520.0,11,128,1,Schirrmeister2017,CSP+SVM,0.5162475,21.062733
520.0,11,128,1,Schirrmeister2017,LogVariance+LDA,0.4578649,4.219265
520.0,11,128,1,Schirrmeister2017,LogVariance+SVM,0.524285,4.2243543
520.0,11,128,1,Schirrmeister2017,MDM,0.44040927,18.240732
520.0,11,128,1,Schirrmeister2017,TRCSP+LDA,0.5191568,20.293312
520.0,11,128,1,Schirrmeister2017,TS+LR,0.5112919,20.447441
520.0,11,128,1,Schirrmeister2017,TS+SVM,0.3918639,21.188961
520.0,12,128,1,Schirrmeister2017,CSP+SVM,0.99871796,20.244171
520.0,12,128,1,Schirrmeister2017,LogVariance+LDA,0.95687866,4.221889
520.0,12,128,1,Schirrmeister2017,LogVariance+SVM,0.9571993,4.2866874
520.0,12,128,1,Schirrmeister2017,MDM,0.90071505,17.539349
520.0,12,128,1,Schirrmeister2017,TRCSP+LDA,0.99607986,19.876375
520.0,12,128,1,Schirrmeister2017,TS+LR,0.9981509,19.523968
520.0,12,128,1,Schirrmeister2017,TS+SVM,0.9977564,20.439058
520.0,14,128,1,Schirrmeister2017,CSP+SVM,0.99773175,27.300003
520.0,14,128,1,Schirrmeister2017,LogVariance+LDA,0.91824454,4.172095
520.0,14,128,1,Schirrmeister2017,LogVariance+SVM,0.95345163,4.185364
520.0,14,128,1,Schirrmeister2017,MDM,0.6130917,24.565191
520.0,14,128,1,Schirrmeister2017,TRCSP+LDA,0.9649408,26.62225
520.0,14,128,1,Schirrmeister2017,TS+LR,0.99718934,26.948004
520.0,14,128,1,Schirrmeister2017,TS+SVM,0.8758876,27.577621
520.0,3,128,1,Schirrmeister2017,CSP+SVM,0.9994823,17.120893
520.0,3,128,1,Schirrmeister2017,LogVariance+LDA,0.9566075,4.2377157
520.0,3,128,1,Schirrmeister2017,LogVariance+SVM,0.96089745,4.2470813
520.0,3,128,1,Schirrmeister2017,MDM,0.9699211,14.553272
520.0,3,128,1,Schirrmeister2017,TRCSP+LDA,0.99395955,16.761301
520.0,3,128,1,Schirrmeister2017,TS+LR,0.9993836,16.19432
520.0,3,128,1,Schirrmeister2017,TS+SVM,0.9988412,17.393103
520.0,6,128,1,Schirrmeister2017,CSP+SVM,0.8540927,17.381416
520.0,6,128,1,Schirrmeister2017,LogVariance+LDA,0.68513316,4.27912
520.0,6,128,1,Schirrmeister2017,LogVariance+SVM,0.6896696,4.323856
520.0,6,128,1,Schirrmeister2017,MDM,0.5644724,14.555762
520.0,6,128,1,Schirrmeister2017,TRCSP+LDA,0.7477071,16.703331
520.0,6,128,1,Schirrmeister2017,TS+LR,0.8531065,16.428001
520.0,6,128,1,Schirrmeister2017,TS+SVM,0.68136096,17.566744
520.0,7,128,1,Schirrmeister2017,CSP+SVM,0.7616124,19.186314
520.0,7,128,1,Schirrmeister2017,LogVariance+LDA,0.60177517,4.189078
520.0,7,128,1,Schirrmeister2017,LogVariance+SVM,0.6363413,4.2419972
520.0,7,128,1,Schirrmeister2017,MDM,0.45870316,16.316069
520.0,7,128,1,Schirrmeister2017,TRCSP+LDA,0.67186886,18.512142
520.0,7,128,1,Schirrmeister2017,TS+LR,0.7615631,18.693617
520.0,7,128,1,Schirrmeister2017,TS+SVM,0.48126233,19.205523
520.0,9,128,1,Schirrmeister2017,CSP+SVM,0.7673077,17.23954
520.0,9,128,1,Schirrmeister2017,LogVariance+LDA,0.6558185,4.1383786
520.0,9,128,1,Schirrmeister2017,LogVariance+SVM,0.6983481,4.1880746
520.0,9,128,1,Schirrmeister2017,MDM,0.5190089,14.384982
520.0,9,128,1,Schirrmeister2017,TRCSP+LDA,0.58054733,16.443598
520.0,9,128,1,Schirrmeister2017,TS+LR,0.7580621,16.12142
520.0,9,128,1,Schirrmeister2017,TS+SVM,0.58574945,17.39122
528.0,4,128,1,Schirrmeister2017,CSP+SVM,0.9972711,17.428879
528.0,4,128,1,Schirrmeister2017,LogVariance+LDA,0.77184916,4.284263
528.0,4,128,1,Schirrmeister2017,LogVariance+SVM,0.84072083,4.334294
528.0,4,128,1,Schirrmeister2017,MDM,0.81499434,14.796127
528.0,4,128,1,Schirrmeister2017,TRCSP+LDA,0.9558964,16.814102
528.0,4,128,1,Schirrmeister2017,TS+LR,0.9972237,16.448961
528.0,4,128,1,Schirrmeister2017,TS+SVM,0.9914574,17.559767
