samples,subject,channels,n_sessions,dataset,pipeline,score,time
140.0,6,60,1,Weibo2014,CSP+SVM,0.9812925,0.9602833
140.0,6,60,1,Weibo2014,LogVariance+LDA,0.6707483,0.25216043
140.0,6,60,1,Weibo2014,LogVariance+SVM,0.72789115,0.25625232
140.0,6,60,1,Weibo2014,MDM,0.757483,0.905814
140.0,6,60,1,Weibo2014,TRCSP+LDA,0.9561225,0.97932994
140.0,6,60,1,Weibo2014,TS+LR,0.9843537,0.95723134
140.0,6,60,1,Weibo2014,TS+SVM,0.94455785,0.9639515
160.0,1,60,1,Weibo2014,CSP+SVM,0.8617188,1.5370073
160.0,1,60,1,Weibo2014,LogVariance+LDA,0.55625004,0.2945735
160.0,1,60,1,Weibo2014,LogVariance+SVM,0.60312504,0.29917622
160.0,1,60,1,Weibo2014,MDM,0.55885416,1.4732631
160.0,1,60,1,Weibo2014,TRCSP+LDA,0.61822915,1.5669782
160.0,1,60,1,Weibo2014,TS+LR,0.84713537,1.5323128
160.0,1,60,1,Weibo2014,TS+SVM,0.5674479,1.5434623
160.0,10,60,1,Weibo2014,CSP+SVM,0.7505209,1.0412829
160.0,10,60,1,Weibo2014,LogVariance+LDA,0.66328126,0.2922511
160.0,10,60,1,Weibo2014,LogVariance+SVM,0.64921874,0.29282317
160.0,10,60,1,Weibo2014,MDM,0.6333334,0.97541165
160.0,10,60,1,Weibo2014,TRCSP+LDA,0.70781255,1.0747412
160.0,10,60,1,Weibo2014,TS+LR,0.7549479,1.0381598
160.0,10,60,1,Weibo2014,TS+SVM,0.6614583,1.046989
160.0,2,60,1,Weibo2014,CSP+SVM,0.97447914,1.1007504
160.0,2,60,1,Weibo2014,LogVariance+LDA,0.66770834,0.29132172
160.0,2,60,1,Weibo2014,LogVariance+SVM,0.7476563,0.29625854
160.0,2,60,1,Weibo2014,MDM,0.6565104,1.0372891
160.0,2,60,1,Weibo2014,TRCSP+LDA,0.76145834,1.1336312
160.0,2,60,1,Weibo2014,TS+LR,0.96692705,1.0915104
160.0,2,60,1,Weibo2014,TS+SVM,0.8338542,1.1069129
160.0,3,60,1,Weibo2014,CSP+SVM,0.50911456,1.0808464
160.0,3,60,1,Weibo2014,LogVariance+LDA,0.49765626,0.28984067
160.0,3,60,1,Weibo2014,LogVariance+SVM,0.515625,0.2947506
160.0,3,60,1,Weibo2014,MDM,0.41953126,1.0184387
160.0,3,60,1,Weibo2014,TRCSP+LDA,0.46979168,1.1116225
160.0,3,60,1,Weibo2014,TS+LR,0.50572914,1.0706547
160.0,3,60,1,Weibo2014,TS+SVM,0.44635415,1.08284
160.0,4,60,1,Weibo2014,CSP+SVM,0.6796875,1.0995739
160.0,4,60,1,Weibo2014,LogVariance+LDA,0.51145834,0.2905164
160.0,4,60,1,Weibo2014,LogVariance+SVM,0.5072917,0.29176176
160.0,4,60,1,Weibo2014,MDM,0.4958333,1.0361744
160.0,4,60,1,Weibo2014,TRCSP+LDA,0.596875,1.1360908
160.0,4,60,1,Weibo2014,TS+LR,0.6697917,1.0948304
160.0,4,60,1,Weibo2014,TS+SVM,0.5309896,1.1066504
160.0,5,60,1,Weibo2014,CSP+SVM,0.7651041,1.1126237
160.0,5,60,1,Weibo2014,LogVariance+LDA,0.45208335,0.2927449
160.0,5,60,1,Weibo2014,LogVariance+SVM,0.46666667,0.29836765
160.0,5,60,1,Weibo2014,MDM,0.45286456,1.0625712
160.0,5,60,1,Weibo2014,TRCSP+LDA,0.671875,1.1510782
160.0,5,60,1,Weibo2014,TS+LR,0.7807291,1.111125
160.0,5,60,1,Weibo2014,TS+SVM,0.44921875,1.1211733
160.0,7,60,1,Weibo2014,CSP+SVM,0.9601562,1.1032937
160.0,7,60,1,Weibo2014,LogVariance+LDA,0.89973956,0.28805992
160.0,7,60,1,Weibo2014,LogVariance+SVM,0.91770834,0.28690255
160.0,7,60,1,Weibo2014,MDM,0.86302084,1.0337363
160.0,7,60,1,Weibo2014,TRCSP+LDA,0.96562505,1.1335403
160.0,7,60,1,Weibo2014,TS+LR,0.9635417,1.0902066
160.0,7,60,1,Weibo2014,TS+SVM,0.9507813,1.1063609
160.0,8,60,1,Weibo2014,CSP+SVM,0.94427085,1.6530527
160.0,8,60,1,Weibo2014,LogVariance+LDA,0.5408854,0.28837946
160.0,8,60,1,Weibo2014,LogVariance+SVM,0.53984374,0.29690117
160.0,8,60,1,Weibo2014,MDM,0.5111979,2.333948
160.0,8,60,1,Weibo2014,TRCSP+LDA,0.8989583,1.6947436
160.0,8,60,1,Weibo2014,TS+LR,0.9638021,1.6526972
160.0,8,60,1,Weibo2014,TS+SVM,0.51718754,1.6519874
160.0,9,60,1,Weibo2014,CSP+SVM,0.9223958,1.0986006
160.0,9,60,1,Weibo2014,LogVariance+LDA,0.75442713,0.28542948
160.0,9,60,1,Weibo2014,LogVariance+SVM,0.778125,0.28911033
160.0,9,60,1,Weibo2014,MDM,0.6203125,1.03045
160.0,9,60,1,Weibo2014,TRCSP+LDA,0.7919271,1.1272397
160.0,9,60,1,Weibo2014,TS+LR,0.9057291,1.0896338
160.0,9,60,1,Weibo2014,TS+SVM,0.75390625,1.1001421
