samples,subject,channels,n_sessions,dataset,pipeline,score,time
90.0,2,14,3,Zhou2016,CSP+SVM,0.7975309,0.10953796
90.0,2,14,3,Zhou2016,LogVariance+LDA,0.57942384,0.08074997
90.0,2,14,3,Zhou2016,LogVariance+SVM,0.6633745,0.077925414
90.0,2,14,3,Zhou2016,MDM,0.7415638,0.110194676
90.0,2,14,3,Zhou2016,TRCSP+LDA,0.63209873,0.11113531
90.0,2,14,3,Zhou2016,TS+LR,0.7909465,0.110496014
90.0,2,14,3,Zhou2016,TS+SVM,0.7456791,0.11087575
90.0,4,14,3,Zhou2016,CSP+SVM,0.98930043,0.10435918
90.0,4,14,3,Zhou2016,LogVariance+LDA,0.8378601,0.07925846
90.0,4,14,3,Zhou2016,LogVariance+SVM,0.854321,0.07704035
90.0,4,14,3,Zhou2016,MDM,0.9827161,0.10332494
90.0,4,14,3,Zhou2016,TRCSP+LDA,0.91769546,0.10592376
90.0,4,14,3,Zhou2016,TS+LR,0.9843621,0.105330914
90.0,4,14,3,Zhou2016,TS+SVM,0.9786008,0.105225034
100.0,1,14,3,Zhou2016,CSP+SVM,0.9223333,0.11535989
100.0,1,14,3,Zhou2016,LogVariance+LDA,0.8923333,0.08731719
100.0,1,14,3,Zhou2016,LogVariance+SVM,0.8836667,0.08503336
100.0,1,14,3,Zhou2016,MDM,0.9193333,0.11677658
100.0,1,14,3,Zhou2016,TRCSP+LDA,0.70266664,0.11717212
100.0,1,14,3,Zhou2016,TS+LR,0.948,0.116327345
100.0,1,14,3,Zhou2016,TS+SVM,0.9253333,0.11615175
100.0,2,14,3,Zhou2016,CSP+SVM,0.898,0.11680889
100.0,2,14,3,Zhou2016,LogVariance+LDA,0.8566666,0.08699455
100.0,2,14,3,Zhou2016,LogVariance+SVM,0.8843333,0.08569168
100.0,2,14,3,Zhou2016,MDM,0.902,0.11656394
100.0,2,14,3,Zhou2016,TRCSP+LDA,0.7636667,0.1182261
100.0,2,14,3,Zhou2016,TS+LR,0.918,0.11751344
100.0,2,14,3,Zhou2016,TS+SVM,0.915,0.11675781
100.0,3,14,3,Zhou2016,CSP+SVM,0.9915555,0.11485973
100.0,3,14,3,Zhou2016,LogVariance+LDA,0.94177777,0.08672386
100.0,3,14,3,Zhou2016,LogVariance+SVM,0.91911113,0.08527382
100.0,3,14,3,Zhou2016,MDM,0.9215555,0.11586785
100.0,3,14,3,Zhou2016,TRCSP+LDA,0.888,0.116593644
100.0,3,14,3,Zhou2016,TS+LR,0.9902222,0.116852045
100.0,3,14,3,Zhou2016,TS+SVM,0.9746667,0.11555003
100.0,4,14,3,Zhou2016,CSP+SVM,0.96933335,0.11761444
100.0,4,14,3,Zhou2016,LogVariance+LDA,0.9163334,0.08769455
100.0,4,14,3,Zhou2016,LogVariance+SVM,0.93866664,0.08564454
100.0,4,14,3,Zhou2016,MDM,0.958,0.120002754
100.0,4,14,3,Zhou2016,TRCSP+LDA,0.86300004,0.119722724
100.0,4,14,3,Zhou2016,TS+LR,0.98066664,0.11941406
100.0,4,14,3,Zhou2016,TS+SVM,0.9673333,0.11879546
119.0,1,14,3,Zhou2016,CSP+SVM,0.9034091,0.13454287
119.0,1,14,3,Zhou2016,LogVariance+LDA,0.8440235,0.10096266
119.0,1,14,3,Zhou2016,LogVariance+SVM,0.719739,0.10053966
119.0,1,14,3,Zhou2016,MDM,0.818266,0.1348406
119.0,1,14,3,Zhou2016,TRCSP+LDA,0.66927606,0.1359459
119.0,1,14,3,Zhou2016,TS+LR,0.9218013,0.13798226
119.0,1,14,3,Zhou2016,TS+SVM,0.8795876,0.13624886
