score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.7,0.069599584,120.0,2,0train,3,5,BNCI2014-004,LogVariance+SVM
0.7083333,0.06831183,120.0,2,1train,3,5,BNCI2014-004,LogVariance+SVM
0.6,0.09046288,160.0,2,2train,3,5,BNCI2014-004,LogVariance+SVM
0.6666667,0.07129884,120.0,2,3test,3,5,BNCI2014-004,LogVariance+SVM
0.59453124,0.091485545,160.0,2,4test,3,5,BNCI2014-004,LogVariance+SVM
0.51666665,0.06970163,120.0,3,0train,3,5,BNCI2014-004,LogVariance+SVM
0.43055555,0.07020712,120.0,3,1train,3,5,BNCI2014-004,LogVariance+SVM
0.5265625,0.09256492,160.0,3,2train,3,5,BNCI2014-004,LogVariance+SVM
0.5210937,0.090830326,160.0,3,3test,3,5,BNCI2014-004,LogVariance+SVM
0.67890626,0.091862775,160.0,3,4test,3,5,BNCI2014-004,LogVariance+SVM
0.9527778,0.07085848,120.0,4,0train,3,5,BNCI2014-004,LogVariance+SVM
0.96428573,0.07950473,140.0,4,1train,3,5,BNCI2014-004,LogVariance+SVM
0.6319444,0.06932397,120.0,5,0train,3,5,BNCI2014-004,LogVariance+SVM
0.78979594,0.08140683,140.0,5,1train,3,5,BNCI2014-004,LogVariance+SVM
0.87916666,0.06947279,120.0,6,0train,3,5,BNCI2014-004,LogVariance+SVM
0.8388889,0.06926994,120.0,6,1train,3,5,BNCI2014-004,LogVariance+SVM
0.87578124,0.09191074,160.0,6,2train,3,5,BNCI2014-004,LogVariance+SVM
0.9390625,0.09269061,160.0,6,3test,3,5,BNCI2014-004,LogVariance+SVM
0.9398438,0.0911427,160.0,6,4test,3,5,BNCI2014-004,LogVariance+SVM
0.64765626,0.09166632,160.0,8,0train,3,5,BNCI2014-004,LogVariance+SVM
0.70694447,0.07346578,120.0,2,0train,3,5,BNCI2014-004,CSP+SVM
0.70694447,0.07419586,120.0,2,0train,3,5,BNCI2014-004,CSP+SVM
0.70694447,0.07338605,120.0,2,0train,3,5,BNCI2014-004,CSP+SVM
0.6958333,0.07390018,120.0,2,1train,3,5,BNCI2014-004,CSP+SVM
0.6958333,0.07483773,120.0,2,1train,3,5,BNCI2014-004,CSP+SVM
0.6958333,0.07565703,120.0,2,1train,3,5,BNCI2014-004,CSP+SVM
0.615625,0.09698872,160.0,2,2train,3,5,BNCI2014-004,CSP+SVM
0.615625,0.09844613,160.0,2,2train,3,5,BNCI2014-004,CSP+SVM
0.615625,0.09714484,160.0,2,2train,3,5,BNCI2014-004,CSP+SVM
0.64166665,0.07515888,120.0,2,3test,3,5,BNCI2014-004,CSP+SVM
0.64166665,0.07559409,120.0,2,3test,3,5,BNCI2014-004,CSP+SVM
0.64166665,0.075053215,120.0,2,3test,3,5,BNCI2014-004,CSP+SVM
0.5648438,0.09522734,160.0,2,4test,3,5,BNCI2014-004,CSP+SVM
0.5648438,0.09877467,160.0,2,4test,3,5,BNCI2014-004,CSP+SVM
0.5648438,0.16977973,160.0,2,4test,3,5,BNCI2014-004,CSP+SVM
0.63472223,0.07376361,120.0,3,0train,3,5,BNCI2014-004,CSP+SVM
0.63472223,0.07630525,120.0,3,0train,3,5,BNCI2014-004,CSP+SVM
0.63472223,0.07377429,120.0,3,0train,3,5,BNCI2014-004,CSP+SVM
0.51805556,0.07677178,120.0,3,1train,3,5,BNCI2014-004,CSP+SVM
0.51805556,0.079426244,120.0,3,1train,3,5,BNCI2014-004,CSP+SVM
0.51805556,0.07568331,120.0,3,1train,3,5,BNCI2014-004,CSP+SVM
0.4234375,0.09538531,160.0,3,2train,3,5,BNCI2014-004,CSP+SVM
0.4234375,0.097349264,160.0,3,2train,3,5,BNCI2014-004,CSP+SVM
