score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.6811111,10.447229,300.0,10,0,128,1,GrosseWentrup2009,TS+SVM
0.61377776,9.799333,300.0,1,0,128,1,GrosseWentrup2009,TS+SVM
0.826,9.783876,300.0,2,0,128,1,GrosseWentrup2009,TS+SVM
0.8897778,9.7552595,300.0,3,0,128,1,GrosseWentrup2009,TS+SVM
0.9637778,10.946977,300.0,4,0,128,1,GrosseWentrup2009,TS+SVM
0.904,10.955925,300.0,5,0,128,1,GrosseWentrup2009,TS+SVM
0.8882222,9.855406,300.0,6,0,128,1,GrosseWentrup2009,TS+SVM
0.5184444,10.344323,300.0,7,0,128,1,GrosseWentrup2009,TS+SVM
0.574,9.949879,300.0,8,0,128,1,GrosseWentrup2009,TS+SVM
0.73888886,9.812266,300.0,9,0,128,1,GrosseWentrup2009,TS+SVM
0.8246667,3.0918312,300.0,10,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.6231111,3.0901394,300.0,1,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.868,3.1027873,300.0,2,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.7037778,3.1044934,300.0,3,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.81866664,3.1132877,300.0,4,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.9264445,3.1473045,300.0,5,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.9255555,3.0567954,300.0,6,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.5706667,3.0797236,300.0,7,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.7357778,3.156007,300.0,8,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.73355556,3.0949616,300.0,9,0,128,1,GrosseWentrup2009,LogVariance+SVM
0.54933333,9.591612,300.0,10,0,128,1,GrosseWentrup2009,MDM
0.54933333,9.62507,300.0,10,0,128,1,GrosseWentrup2009,MDM
0.5877778,8.958821,300.0,1,0,128,1,GrosseWentrup2009,MDM
0.5877778,8.826021,300.0,1,0,128,1,GrosseWentrup2009,MDM
0.65955555,8.832142,300.0,2,0,128,1,GrosseWentrup2009,MDM
0.65955555,8.888629,300.0,2,0,128,1,GrosseWentrup2009,MDM
0.70244443,8.941649,300.0,3,0,128,1,GrosseWentrup2009,MDM
0.70244443,8.936746,300.0,3,0,128,1,GrosseWentrup2009,MDM
0.7448889,9.961519,300.0,4,0,128,1,GrosseWentrup2009,MDM
0.7448889,9.824558,300.0,4,0,128,1,GrosseWentrup2009,MDM
0.66822225,9.960103,300.0,5,0,128,1,GrosseWentrup2009,MDM
0.66822225,9.940899,300.0,5,0,128,1,GrosseWentrup2009,MDM
0.6788889,8.952099,300.0,6,0,128,1,GrosseWentrup2009,MDM
0.6788889,8.972722,300.0,6,0,128,1,GrosseWentrup2009,MDM
0.52933335,9.669217,300.0,7,0,128,1,GrosseWentrup2009,MDM
0.52933335,9.646408,300.0,7,0,128,1,GrosseWentrup2009,MDM
0.5288889,8.931917,300.0,8,0,128,1,GrosseWentrup2009,MDM
0.5288889,9.109978,300.0,8,0,128,1,GrosseWentrup2009,MDM
0.61466664,9.013586,300.0,9,0,128,1,GrosseWentrup2009,MDM
0.61466664,8.939534,300.0,9,0,128,1,GrosseWentrup2009,MDM
0.76111114,10.5642,300.0,10,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.76111114,10.364299,300.0,10,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.76111114,10.41605,300.0,10,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.62777776,9.848355,300.0,1,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.62777776,9.736133,300.0,1,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.62777776,9.721154,300.0,1,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.78911114,9.987761,300.0,2,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.78911114,9.783733,300.0,2,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.78911114,9.822785,300.0,2,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.906,9.984823,300.0,3,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.906,9.864627,300.0,3,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.906,9.757821,300.0,3,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9868889,10.884476,300.0,4,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9868889,10.706457,300.0,4,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9868889,10.842173,300.0,4,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9428889,11.039351,300.0,5,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9428889,10.881321,300.0,5,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.9428889,10.936485,300.0,5,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.93333334,9.96895,300.0,6,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.93333334,9.846807,300.0,6,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.93333334,9.747053,300.0,6,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.5588889,10.314817,300.0,7,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.5588889,10.175206,300.0,7,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.5588889,10.237973,300.0,7,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.6157778,10.028294,300.0,8,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.6157778,9.923734,300.0,8,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.6157778,9.927897,300.0,8,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.7871111,9.898773,300.0,9,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.7871111,9.7822075,300.0,9,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.7871111,9.682319,300.0,9,0,128,1,GrosseWentrup2009,TRCSP+LDA
0.91933334,10.038648,300.0,10,0,128,1,GrosseWentrup2009,TS+LR
0.7222222,9.727032,300.0,1,0,128,1,GrosseWentrup2009,TS+LR
0.9482222,9.545208,300.0,2,0,128,1,GrosseWentrup2009,TS+LR
0.9822222,9.627,300.0,3,0,128,1,GrosseWentrup2009,TS+LR
0.9968889,10.617798,300.0,4,0,128,1,GrosseWentrup2009,TS+LR
0.9811111,10.7778635,300.0,5,0,128,1,GrosseWentrup2009,TS+LR
0.9711111,9.642224,300.0,6,0,128,1,GrosseWentrup2009,TS+LR
0.6,10.203917,300.0,7,0,128,1,GrosseWentrup2009,TS+LR
0.7677778,9.655048,300.0,8,0,128,1,GrosseWentrup2009,TS+LR
0.87333333,9.70765,300.0,9,0,128,1,GrosseWentrup2009,TS+LR
0.70644444,3.0916393,300.0,10,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.5402222,3.0760524,300.0,1,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.80777776,3.1048,300.0,2,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.6613333,3.0855467,300.0,3,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.7953333,3.1067078,300.0,4,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.866,3.1383483,300.0,5,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.84866667,3.0622172,300.0,6,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.52022225,3.0601742,300.0,7,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.6753333,3.1240916,300.0,8,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.7408889,3.0941594,300.0,9,0,128,1,GrosseWentrup2009,LogVariance+LDA
0.93155557,10.218463,300.0,10,0,128,1,GrosseWentrup2009,CSP+SVM
0.93155557,10.6155205,300.0,10,0,128,1,GrosseWentrup2009,CSP+SVM
0.93155557,10.585918,300.0,10,0,128,1,GrosseWentrup2009,CSP+SVM
0.7355555,9.751642,300.0,1,0,128,1,GrosseWentrup2009,CSP+SVM
0.7355555,9.933578,300.0,1,0,128,1,GrosseWentrup2009,CSP+SVM
0.7355555,9.957952,300.0,1,0,128,1,GrosseWentrup2009,CSP+SVM
0.9591111,9.710897,300.0,2,0,128,1,GrosseWentrup2009,CSP+SVM
0.9591111,10.043837,300.0,2,0,128,1,GrosseWentrup2009,CSP+SVM
0.9591111,9.981768,300.0,2,0,128,1,GrosseWentrup2009,CSP+SVM
0.9864445,9.77168,300.0,3,0,128,1,GrosseWentrup2009,CSP+SVM
0.9864445,9.949045,300.0,3,0,128,1,GrosseWentrup2009,CSP+SVM
0.9864445,10.032995,300.0,3,0,128,1,GrosseWentrup2009,CSP+SVM
0.99644446,10.709328,300.0,4,0,128,1,GrosseWentrup2009,CSP+SVM
0.99644446,10.890837,300.0,4,0,128,1,GrosseWentrup2009,CSP+SVM
0.99644446,10.850454,300.0,4,0,128,1,GrosseWentrup2009,CSP+SVM
0.98444444,10.91021,300.0,5,0,128,1,GrosseWentrup2009,CSP+SVM
0.98444444,11.12746,300.0,5,0,128,1,GrosseWentrup2009,CSP+SVM
0.98444444,11.07602,300.0,5,0,128,1,GrosseWentrup2009,CSP+SVM
0.9751111,9.792338,300.0,6,0,128,1,GrosseWentrup2009,CSP+SVM
0.9751111,10.000483,300.0,6,0,128,1,GrosseWentrup2009,CSP+SVM
0.9751111,10.013812,300.0,6,0,128,1,GrosseWentrup2009,CSP+SVM
0.61466664,10.222608,300.0,7,0,128,1,GrosseWentrup2009,CSP+SVM
0.61466664,10.5072775,300.0,7,0,128,1,GrosseWentrup2009,CSP+SVM
0.61466664,10.498443,300.0,7,0,128,1,GrosseWentrup2009,CSP+SVM
0.77644444,9.716661,300.0,8,0,128,1,GrosseWentrup2009,CSP+SVM
0.77644444,10.117694,300.0,8,0,128,1,GrosseWentrup2009,CSP+SVM
0.77644444,10.094911,300.0,8,0,128,1,GrosseWentrup2009,CSP+SVM
0.8831111,9.799023,300.0,9,0,128,1,GrosseWentrup2009,CSP+SVM
0.8831111,9.910953,300.0,9,0,128,1,GrosseWentrup2009,CSP+SVM
0.8831111,9.973202,300.0,9,0,128,1,GrosseWentrup2009,CSP+SVM
