score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.59,0.08633795,45.0,14,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.26,0.083365396,45.0,74,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.62,0.08604326,45.0,15,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.71,0.08675484,45.0,75,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.43,0.085061885,45.0,16,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.67,0.08241038,45.0,76,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.49,0.08469496,45.0,17,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.59,0.0859559,45.0,77,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.76,0.08527827,45.0,18,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.51,0.08725319,45.0,78,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.41,0.08715067,45.0,19,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.52,0.086484954,45.0,79,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.48,0.08855925,45.0,20,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.54,0.086588,45.0,80,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.78,0.08534732,45.0,2,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.55,0.08388052,45.0,8,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.7,0.086379334,45.0,21,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.52,0.084028624,45.0,81,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.87,0.08769469,45.0,22,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.64,0.08599047,45.0,82,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.53,0.08594122,45.0,23,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.45,0.08572626,45.0,83,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.65,0.084718704,45.0,24,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.59,0.08729801,45.0,84,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.6,0.0840229,45.0,25,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.87,0.08762207,45.0,85,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.83,0.08359923,45.0,26,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.72,0.08401809,45.0,86,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.5,0.08541064,45.0,27,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.58,0.085682295,45.0,87,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.43,0.08476076,45.0,28,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.4511111,0.103135824,57.0,88,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.73,0.083829544,45.0,29,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.58,0.08662157,45.0,89,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.35,0.08359294,45.0,30,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.49,0.085177615,45.0,90,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.51,0.0857347,45.0,3,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.5,0.08624239,45.0,9,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.77,0.0900382,45.0,31,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.85,0.08475866,45.0,91,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.81,0.08613801,45.0,32,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.66555554,0.10334611,57.0,92,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.76,0.085366726,45.0,33,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.68,0.08714862,45.0,93,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.78,0.08558879,45.0,34,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.96,0.084745504,45.0,94,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.74,0.0838048,45.0,35,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.47,0.08472872,45.0,95,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.54,0.08385114,45.0,36,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.92,0.08407412,45.0,96,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.41,0.0833139,45.0,37,0,64,1,PhysionetMotorImagery,LogVariance+SVM
