score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.95066565,18.994387,520.0,10,0,128,1,Schirrmeister2017,TRCSP+LDA
0.95066565,18.284792,520.0,10,0,128,1,Schirrmeister2017,TRCSP+LDA
0.95066565,18.206223,520.0,10,0,128,1,Schirrmeister2017,TRCSP+LDA
0.58194447,7.3878317,240.0,1,0,128,1,Schirrmeister2017,TRCSP+LDA
0.58194447,7.4169974,240.0,1,0,128,1,Schirrmeister2017,TRCSP+LDA
0.58194447,7.4508233,240.0,1,0,128,1,Schirrmeister2017,TRCSP+LDA
0.50096154,20.2001,520.0,11,0,128,1,Schirrmeister2017,TRCSP+LDA
0.50096154,20.326544,520.0,11,0,128,1,Schirrmeister2017,TRCSP+LDA
0.50096154,20.362137,520.0,11,0,128,1,Schirrmeister2017,TRCSP+LDA
0.99741125,20.382666,520.0,12,0,128,1,Schirrmeister2017,TRCSP+LDA
0.99741125,19.47456,520.0,12,0,128,1,Schirrmeister2017,TRCSP+LDA
0.99741125,19.311882,520.0,12,0,128,1,Schirrmeister2017,TRCSP+LDA
0.81119794,15.708691,480.0,13,0,128,1,Schirrmeister2017,TRCSP+LDA
0.81119794,15.353149,480.0,13,0,128,1,Schirrmeister2017,TRCSP+LDA
0.81119794,15.319383,480.0,13,0,128,1,Schirrmeister2017,TRCSP+LDA
0.96878695,27.43129,520.0,14,0,128,1,Schirrmeister2017,TRCSP+LDA
0.96878695,25.788414,520.0,14,0,128,1,Schirrmeister2017,TRCSP+LDA
0.96878695,25.745087,520.0,14,0,128,1,Schirrmeister2017,TRCSP+LDA
0.88539326,15.814041,486.0,2,0,128,1,Schirrmeister2017,TRCSP+LDA
0.88539326,15.457053,486.0,2,0,128,1,Schirrmeister2017,TRCSP+LDA
0.88539326,15.394073,486.0,2,0,128,1,Schirrmeister2017,TRCSP+LDA
0.9932692,16.954725,520.0,3,0,128,1,Schirrmeister2017,TRCSP+LDA
