score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.58515626,0.9929937,160.0,10,0,60,1,Weibo2014,MDM
0.58515626,0.98232436,160.0,10,0,60,1,Weibo2014,MDM
0.54765624,1.4828712,160.0,1,0,60,1,Weibo2014,MDM
0.54765624,1.4787927,160.0,1,0,60,1,Weibo2014,MDM
0.6429688,1.0569359,160.0,2,0,60,1,Weibo2014,MDM
0.6429688,1.0564922,160.0,2,0,60,1,Weibo2014,MDM
0.42890626,1.0330093,160.0,3,0,60,1,Weibo2014,MDM
0.42890626,1.0257075,160.0,3,0,60,1,Weibo2014,MDM
0.478125,1.0390067,160.0,4,0,60,1,Weibo2014,MDM
0.478125,1.0398252,160.0,4,0,60,1,Weibo2014,MDM
0.40234375,1.0745208,160.0,5,0,60,1,Weibo2014,MDM
0.40234375,1.0717701,160.0,5,0,60,1,Weibo2014,MDM
0.74693877,0.92311114,140.0,6,0,60,1,Weibo2014,MDM
0.74693877,0.9200871,140.0,6,0,60,1,Weibo2014,MDM
0.8226563,1.0513301,160.0,7,0,60,1,Weibo2014,MDM
0.8226563,1.0586433,160.0,7,0,60,1,Weibo2014,MDM
0.4359375,2.3422544,160.0,8,0,60,1,Weibo2014,MDM
0.4359375,2.3967004,160.0,8,0,60,1,Weibo2014,MDM
0.6296875,1.0571214,160.0,9,0,60,1,Weibo2014,MDM
0.6296875,1.056706,160.0,9,0,60,1,Weibo2014,MDM
0.62109375,0.29894105,160.0,10,0,60,1,Weibo2014,LogVariance+SVM
0.6046875,0.2994628,160.0,1,0,60,1,Weibo2014,LogVariance+SVM
0.7523438,0.30286688,160.0,2,0,60,1,Weibo2014,LogVariance+SVM
0.52265626,0.30257654,160.0,3,0,60,1,Weibo2014,LogVariance+SVM
0.5109375,0.29489964,160.0,4,0,60,1,Weibo2014,LogVariance+SVM
0.4671875,0.30682594,160.0,5,0,60,1,Weibo2014,LogVariance+SVM
0.72040814,0.26094818,140.0,6,0,60,1,Weibo2014,LogVariance+SVM
0.9078125,0.2924686,160.0,7,0,60,1,Weibo2014,LogVariance+SVM
0.5453125,0.30524626,160.0,8,0,60,1,Weibo2014,LogVariance+SVM
0.78203124,0.2923674,160.0,9,0,60,1,Weibo2014,LogVariance+SVM
0.73125,1.0921724,160.0,10,0,60,1,Weibo2014,TRCSP+LDA
0.73125,1.1015143,160.0,10,0,60,1,Weibo2014,TRCSP+LDA
