score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.7013889,0.09977827,119.0,1,0,14,3,Zhou2016,LogVariance+SVM
0.866,0.08306837,100.0,1,1,14,3,Zhou2016,LogVariance+SVM
0.89,0.08377294,100.0,1,2,14,3,Zhou2016,LogVariance+SVM
0.91,0.083386995,100.0,2,0,14,3,Zhou2016,LogVariance+SVM
0.6296296,0.075687364,90.0,2,1,14,3,Zhou2016,LogVariance+SVM
0.862,0.0849277,100.0,2,2,14,3,Zhou2016,LogVariance+SVM
0.922,0.08274026,100.0,3,0,14,3,Zhou2016,LogVariance+SVM
0.944,0.08343558,100.0,3,1,14,3,Zhou2016,LogVariance+SVM
0.914,0.08378353,100.0,3,2,14,3,Zhou2016,LogVariance+SVM
0.8567901,0.075968124,90.0,4,0,14,3,Zhou2016,LogVariance+SVM
0.996,0.083624646,100.0,4,1,14,3,Zhou2016,LogVariance+SVM
0.892,0.08481622,100.0,4,2,14,3,Zhou2016,LogVariance+SVM
0.85315657,0.10020981,119.0,1,0,14,3,Zhou2016,LogVariance+LDA
0.888,0.08492045,100.0,1,1,14,3,Zhou2016,LogVariance+LDA
0.888,0.08666692,100.0,1,2,14,3,Zhou2016,LogVariance+LDA
0.846,0.08448634,100.0,2,0,14,3,Zhou2016,LogVariance+LDA
0.5530864,0.078630306,90.0,2,1,14,3,Zhou2016,LogVariance+LDA
0.864,0.08467126,100.0,2,2,14,3,Zhou2016,LogVariance+LDA
0.916,0.085276745,100.0,3,0,14,3,Zhou2016,LogVariance+LDA
0.962,0.084896564,100.0,3,1,14,3,Zhou2016,LogVariance+LDA
0.946,0.08565173,100.0,3,2,14,3,Zhou2016,LogVariance+LDA
0.8148148,0.07697992,90.0,4,0,14,3,Zhou2016,LogVariance+LDA
0.976,0.08597364,100.0,4,1,14,3,Zhou2016,LogVariance+LDA
0.858,0.08471141,100.0,4,2,14,3,Zhou2016,LogVariance+LDA
0.835101,0.13352051,119.0,1,0,14,3,Zhou2016,MDM
0.835101,0.1325738,119.0,1,0,14,3,Zhou2016,MDM
0.892,0.115086414,100.0,1,1,14,3,Zhou2016,MDM
0.892,0.11755724,100.0,1,1,14,3,Zhou2016,MDM
0.936,0.11486721,100.0,1,2,14,3,Zhou2016,MDM
0.936,0.11479344,100.0,1,2,14,3,Zhou2016,MDM
0.922,0.11687937,100.0,2,0,14,3,Zhou2016,MDM
0.922,0.11675801,100.0,2,0,14,3,Zhou2016,MDM
0.71358025,0.10748329,90.0,2,1,14,3,Zhou2016,MDM
0.71358025,0.107820794,90.0,2,1,14,3,Zhou2016,MDM
0.912,0.11010504,100.0,2,2,14,3,Zhou2016,MDM
0.912,0.11051293,100.0,2,2,14,3,Zhou2016,MDM
0.958,0.11283469,100.0,3,0,14,3,Zhou2016,MDM
0.958,0.11349163,100.0,3,0,14,3,Zhou2016,MDM
0.882,0.11269808,100.0,3,1,14,3,Zhou2016,MDM
0.882,0.11319561,100.0,3,1,14,3,Zhou2016,MDM
0.972,0.11289396,100.0,3,2,14,3,Zhou2016,MDM
0.972,0.11344719,100.0,3,2,14,3,Zhou2016,MDM
0.982716,0.101429895,90.0,4,0,14,3,Zhou2016,MDM
0.982716,0.10155807,90.0,4,0,14,3,Zhou2016,MDM
0.93,0.12339167,100.0,4,1,14,3,Zhou2016,MDM
0.93,0.11830659,100.0,4,1,14,3,Zhou2016,MDM
0.976,0.11460032,100.0,4,2,14,3,Zhou2016,MDM
0.976,0.11320524,100.0,4,2,14,3,Zhou2016,MDM
0.89747477,0.1313034,119.0,1,0,14,3,Zhou2016,CSP+SVM
0.89747477,0.13243684,119.0,1,0,14,3,Zhou2016,CSP+SVM
0.89747477,0.13245945,119.0,1,0,14,3,Zhou2016,CSP+SVM
0.906,0.114369296,100.0,1,1,14,3,Zhou2016,CSP+SVM
0.906,0.115399316,100.0,1,1,14,3,Zhou2016,CSP+SVM
0.906,0.11434507,100.0,1,1,14,3,Zhou2016,CSP+SVM
0.922,0.112375595,100.0,1,2,14,3,Zhou2016,CSP+SVM
0.922,0.11224604,100.0,1,2,14,3,Zhou2016,CSP+SVM
0.922,0.11406322,100.0,1,2,14,3,Zhou2016,CSP+SVM
0.928,0.11623554,100.0,2,0,14,3,Zhou2016,CSP+SVM
0.928,0.11788702,100.0,2,0,14,3,Zhou2016,CSP+SVM
0.928,0.11964498,100.0,2,0,14,3,Zhou2016,CSP+SVM
0.7604938,0.10675983,90.0,2,1,14,3,Zhou2016,CSP+SVM
0.7604938,0.10837245,90.0,2,1,14,3,Zhou2016,CSP+SVM
0.7604938,0.106557466,90.0,2,1,14,3,Zhou2016,CSP+SVM
0.904,0.110396385,100.0,2,2,14,3,Zhou2016,CSP+SVM
0.904,0.11108537,100.0,2,2,14,3,Zhou2016,CSP+SVM
0.904,0.11171536,100.0,2,2,14,3,Zhou2016,CSP+SVM
0.984,0.11170359,100.0,3,0,14,3,Zhou2016,CSP+SVM
0.984,0.11380191,100.0,3,0,14,3,Zhou2016,CSP+SVM
0.984,0.113915965,100.0,3,0,14,3,Zhou2016,CSP+SVM
0.978,0.11004553,100.0,3,1,14,3,Zhou2016,CSP+SVM
0.978,0.1125072,100.0,3,1,14,3,Zhou2016,CSP+SVM
0.978,0.113489866,100.0,3,1,14,3,Zhou2016,CSP+SVM
1.0,0.11167288,100.0,3,2,14,3,Zhou2016,CSP+SVM
1.0,0.112562135,100.0,3,2,14,3,Zhou2016,CSP+SVM
1.0,0.11235766,100.0,3,2,14,3,Zhou2016,CSP+SVM
0.9777778,0.09996705,90.0,4,0,14,3,Zhou2016,CSP+SVM
0.9777778,0.10186143,90.0,4,0,14,3,Zhou2016,CSP+SVM
0.9777778,0.102477886,90.0,4,0,14,3,Zhou2016,CSP+SVM
0.972,0.11624093,100.0,4,1,14,3,Zhou2016,CSP+SVM
0.972,0.117538214,100.0,4,1,14,3,Zhou2016,CSP+SVM
0.972,0.117729045,100.0,4,1,14,3,Zhou2016,CSP+SVM
0.958,0.11212583,100.0,4,2,14,3,Zhou2016,CSP+SVM
0.958,0.113404654,100.0,4,2,14,3,Zhou2016,CSP+SVM
0.958,0.111789085,100.0,4,2,14,3,Zhou2016,CSP+SVM
0.6955808,0.13441487,119.0,1,0,14,3,Zhou2016,TRCSP+LDA
0.6955808,0.13522978,119.0,1,0,14,3,Zhou2016,TRCSP+LDA
0.6955808,0.13360095,119.0,1,0,14,3,Zhou2016,TRCSP+LDA
0.602,0.116002604,100.0,1,1,14,3,Zhou2016,TRCSP+LDA
0.602,0.116600946,100.0,1,1,14,3,Zhou2016,TRCSP+LDA
0.602,0.116616964,100.0,1,1,14,3,Zhou2016,TRCSP+LDA
0.69,0.11371775,100.0,1,2,14,3,Zhou2016,TRCSP+LDA
0.69,0.113317825,100.0,1,2,14,3,Zhou2016,TRCSP+LDA
0.69,0.115254164,100.0,1,2,14,3,Zhou2016,TRCSP+LDA
0.77,0.11887713,100.0,2,0,14,3,Zhou2016,TRCSP+LDA
0.77,0.11903505,100.0,2,0,14,3,Zhou2016,TRCSP+LDA
0.77,0.11919608,100.0,2,0,14,3,Zhou2016,TRCSP+LDA
0.6271605,0.10904054,90.0,2,1,14,3,Zhou2016,TRCSP+LDA
0.6271605,0.10864253,90.0,2,1,14,3,Zhou2016,TRCSP+LDA
0.6271605,0.107749894,90.0,2,1,14,3,Zhou2016,TRCSP+LDA
0.758,0.11267543,100.0,2,2,14,3,Zhou2016,TRCSP+LDA
0.758,0.111987494,100.0,2,2,14,3,Zhou2016,TRCSP+LDA
0.758,0.11124587,100.0,2,2,14,3,Zhou2016,TRCSP+LDA
0.888,0.1150136,100.0,3,0,14,3,Zhou2016,TRCSP+LDA
0.888,0.11544728,100.0,3,0,14,3,Zhou2016,TRCSP+LDA
0.888,0.11295185,100.0,3,0,14,3,Zhou2016,TRCSP+LDA
0.826,0.113532305,100.0,3,1,14,3,Zhou2016,TRCSP+LDA
0.826,0.11306147,100.0,3,1,14,3,Zhou2016,TRCSP+LDA
0.826,0.113688566,100.0,3,1,14,3,Zhou2016,TRCSP+LDA
0.872,0.11443262,100.0,3,2,14,3,Zhou2016,TRCSP+LDA
0.872,0.114518926,100.0,3,2,14,3,Zhou2016,TRCSP+LDA
0.872,0.113997936,100.0,3,2,14,3,Zhou2016,TRCSP+LDA
0.9061728,0.10261035,90.0,4,0,14,3,Zhou2016,TRCSP+LDA
0.9061728,0.10334258,90.0,4,0,14,3,Zhou2016,TRCSP+LDA
0.9061728,0.10192132,90.0,4,0,14,3,Zhou2016,TRCSP+LDA
0.868,0.11964731,100.0,4,1,14,3,Zhou2016,TRCSP+LDA
0.868,0.11964569,100.0,4,1,14,3,Zhou2016,TRCSP+LDA
0.868,0.118931055,100.0,4,1,14,3,Zhou2016,TRCSP+LDA
0.842,0.114475965,100.0,4,2,14,3,Zhou2016,TRCSP+LDA
0.842,0.115114115,100.0,4,2,14,3,Zhou2016,TRCSP+LDA
0.842,0.11525178,100.0,4,2,14,3,Zhou2016,TRCSP+LDA
0.8867424,0.13283047,119.0,1,0,14,3,Zhou2016,TS+SVM
0.896,0.11641626,100.0,1,1,14,3,Zhou2016,TS+SVM
0.942,0.112293005,100.0,1,2,14,3,Zhou2016,TS+SVM
0.924,0.11678443,100.0,2,0,14,3,Zhou2016,TS+SVM
0.7160494,0.108283,90.0,2,1,14,3,Zhou2016,TS+SVM
0.924,0.11084352,100.0,2,2,14,3,Zhou2016,TS+SVM
0.962,0.11480732,100.0,3,0,14,3,Zhou2016,TS+SVM
0.972,0.11216001,100.0,3,1,14,3,Zhou2016,TS+SVM
0.99,0.11412807,100.0,3,2,14,3,Zhou2016,TS+SVM
0.9777778,0.101814315,90.0,4,0,14,3,Zhou2016,TS+SVM
0.97,0.11837254,100.0,4,1,14,3,Zhou2016,TS+SVM
0.964,0.11242013,100.0,4,2,14,3,Zhou2016,TS+SVM
0.92676765,0.13279334,119.0,1,0,14,3,Zhou2016,TS+LR
0.934,0.1153327,100.0,1,1,14,3,Zhou2016,TS+LR
0.954,0.11415382,100.0,1,2,14,3,Zhou2016,TS+LR
0.946,0.11839948,100.0,2,0,14,3,Zhou2016,TS+LR
0.7604938,0.10712924,90.0,2,1,14,3,Zhou2016,TS+LR
0.92,0.1118197,100.0,2,2,14,3,Zhou2016,TS+LR
0.982,0.114360906,100.0,3,0,14,3,Zhou2016,TS+LR
0.988,0.118964955,100.0,3,1,14,3,Zhou2016,TS+LR
0.998,0.11353769,100.0,3,2,14,3,Zhou2016,TS+LR
0.9851852,0.10310368,90.0,4,0,14,3,Zhou2016,TS+LR
0.976,0.118645765,100.0,4,1,14,3,Zhou2016,TS+LR
0.978,0.11437287,100.0,4,2,14,3,Zhou2016,TS+LR
