score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.84061223,0.70901954,144.0,1,0train,22,2,BNCI2014-001,LogVariance+SVM
0.7794558,0.71900356,144.0,1,1test,22,2,BNCI2014-001,LogVariance+SVM
0.5117007,0.7311318,144.0,2,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5756463,0.77299654,144.0,2,1test,22,2,BNCI2014-001,LogVariance+SVM
0.9570068,0.7243463,144.0,3,0train,22,2,BNCI2014-001,LogVariance+SVM
0.95428574,0.70839316,144.0,3,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7364626,0.716251,144.0,4,0train,22,2,BNCI2014-001,LogVariance+SVM
0.5520408,0.7139729,144.0,4,1test,22,2,BNCI2014-001,LogVariance+SVM
0.45285714,0.72243303,144.0,5,0train,22,2,BNCI2014-001,LogVariance+SVM
0.519932,0.71965754,144.0,5,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7251701,0.73113763,144.0,6,0train,22,2,BNCI2014-001,LogVariance+SVM
0.61163265,0.76198304,144.0,6,1test,22,2,BNCI2014-001,LogVariance+SVM
0.7837415,0.7209939,144.0,7,0train,22,2,BNCI2014-001,LogVariance+SVM
0.84959185,0.7248553,144.0,7,1test,22,2,BNCI2014-001,LogVariance+SVM
0.98353744,0.72223485,144.0,8,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9613606,0.7102424,144.0,8,1test,22,2,BNCI2014-001,LogVariance+SVM
0.8407483,0.72533995,144.0,9,0train,22,2,BNCI2014-001,LogVariance+SVM
0.9635374,0.7010833,144.0,9,1test,22,2,BNCI2014-001,LogVariance+SVM
0.48,0.32718667,45.0,14,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.35,0.32456207,45.0,74,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.53,0.3349897,45.0,15,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.45,0.32254237,45.0,75,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.4,0.3256824,45.0,16,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.59,0.32381138,45.0,76,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.38,0.29824108,45.0,17,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.59,0.30835065,45.0,77,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.64,0.29747486,45.0,18,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.63,0.30119196,45.0,78,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.42,0.30393973,45.0,19,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.48,0.30744535,45.0,79,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.5,0.29662007,45.0,20,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.5,0.2941845,45.0,80,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.68,0.32151324,45.0,2,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.47,0.3228836,45.0,8,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.69,0.34413686,45.0,21,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.39,0.33523616,45.0,81,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.59,0.32688203,45.0,22,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.69,0.32604915,45.0,82,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.51,0.3310247,45.0,23,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.32,0.3422029,45.0,83,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.65,0.32610744,45.0,24,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.61,0.32227105,45.0,84,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.67,0.33355364,45.0,25,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.98,0.3135282,45.0,85,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.65,0.31907773,45.0,26,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.45,0.3139611,45.0,86,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.58,0.31513515,45.0,27,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.57,0.32032037,45.0,87,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.37,0.34743857,45.0,28,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.29555556,0.32323843,57.0,88,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.9,0.3189085,45.0,29,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.57,0.32002634,45.0,89,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.22,0.32368222,45.0,30,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.63,0.3235485,45.0,90,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.4,0.33919668,45.0,3,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.35,0.32028764,45.0,9,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.78,0.3172925,45.0,31,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.69,0.32036766,45.0,91,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.78,0.3237451,45.0,32,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.55333334,0.33558875,57.0,92,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.82,0.31453776,45.0,33,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.72,0.3157281,45.0,93,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.86,0.31628126,45.0,34,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.83,0.3181482,45.0,94,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.73,0.3142311,45.0,35,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.47,0.3151559,45.0,95,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.36,0.32937115,45.0,36,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.75,0.31314683,45.0,96,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.51,0.31949702,45.0,37,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.59,0.3188787,45.0,97,0,64,1,PhysionetMotorImagery,LogVariance+SVM
0.43,0.31959072,45.0,38,0,64,1,PhysionetMotorImagery,LogVariance+SVM
