samples,subject,channels,n_sessions,dataset,pipeline,score,time
120.0,1,3,5,BNCI2014-004,CSP+LDA,0.79652774,0.056827713
120.0,1,3,5,BNCI2014-004,CSP+SVM,0.7840278,0.06157719
120.0,1,3,5,BNCI2014-004,DLCSPauto+shLDA,0.79444444,0.059868194
120.0,1,3,5,BNCI2014-004,FgMDM,0.78125,0.06451598
120.0,1,3,5,BNCI2014-004,LogVariance+LDA,0.7722222,0.007004643
120.0,1,3,5,BNCI2014-004,LogVariance+SVM,0.76319444,0.0053747417
120.0,1,3,5,BNCI2014-004,MDM,0.7534722,0.06148236
120.0,1,3,5,BNCI2014-004,TRCSP+LDA,0.7986111,0.014061833
120.0,1,3,5,BNCI2014-004,TS+EL,0.77569443,0.061816715
120.0,1,3,5,BNCI2014-004,TS+LR,0.7888889,0.06735535
120.0,7,3,5,BNCI2014-004,CSP+LDA,0.69722223,0.0579952
120.0,7,3,5,BNCI2014-004,CSP+SVM,0.70069444,0.0637645
120.0,7,3,5,BNCI2014-004,DLCSPauto+shLDA,0.6909722,0.058805965
120.0,7,3,5,BNCI2014-004,FgMDM,0.69861114,0.07221246
120.0,7,3,5,BNCI2014-004,LogVariance+LDA,0.64305556,0.0059770583
120.0,7,3,5,BNCI2014-004,LogVariance+SVM,0.63263893,0.00539043
120.0,7,3,5,BNCI2014-004,MDM,0.6527778,0.061404422
120.0,7,3,5,BNCI2014-004,TRCSP+LDA,0.6847222,0.012293553
120.0,7,3,5,BNCI2014-004,TS+EL,0.6861111,0.061767124
120.0,7,3,5,BNCI2014-004,TS+LR,0.6965278,0.06323688
120.0,8,3,5,BNCI2014-004,CSP+LDA,0.7027778,0.06082816
120.0,8,3,5,BNCI2014-004,CSP+SVM,0.66805553,0.06863773
120.0,8,3,5,BNCI2014-004,DLCSPauto+shLDA,0.70555556,0.06525254
120.0,8,3,5,BNCI2014-004,FgMDM,0.6736111,0.06554856
120.0,8,3,5,BNCI2014-004,LogVariance+LDA,0.71944445,0.006460762
120.0,8,3,5,BNCI2014-004,LogVariance+SVM,0.72083336,0.0057896613
120.0,8,3,5,BNCI2014-004,MDM,0.68333334,0.06284614
120.0,8,3,5,BNCI2014-004,TRCSP+LDA,0.6805556,0.013340712
120.0,8,3,5,BNCI2014-004,TS+EL,0.7013889,0.0740449
120.0,8,3,5,BNCI2014-004,TS+LR,0.69305557,0.06044521
120.0,9,3,5,BNCI2014-004,CSP+LDA,0.70208335,0.05876758
120.0,9,3,5,BNCI2014-004,CSP+SVM,0.69722223,0.06357099
120.0,9,3,5,BNCI2014-004,DLCSPauto+shLDA,0.69375,0.06650732
120.0,9,3,5,BNCI2014-004,FgMDM,0.68333334,0.0653536
120.0,9,3,5,BNCI2014-004,LogVariance+LDA,0.6645833,0.0071327686
120.0,9,3,5,BNCI2014-004,LogVariance+SVM,0.65625,0.006012964
120.0,9,3,5,BNCI2014-004,MDM,0.61388886,0.06069827
120.0,9,3,5,BNCI2014-004,TRCSP+LDA,0.70208335,0.01291666
120.0,9,3,5,BNCI2014-004,TS+EL,0.70138884,0.059400633
120.0,9,3,5,BNCI2014-004,TS+LR,0.69861114,0.061317608
160.0,1,3,5,BNCI2014-004,CSP+LDA,0.88619787,0.08234344
160.0,1,3,5,BNCI2014-004,CSP+SVM,0.8830729,0.08085393
160.0,1,3,5,BNCI2014-004,DLCSPauto+shLDA,0.88437504,0.08306572
160.0,1,3,5,BNCI2014-004,FgMDM,0.87135416,0.083048604
160.0,1,3,5,BNCI2014-004,LogVariance+LDA,0.87109375,0.007843987
160.0,1,3,5,BNCI2014-004,LogVariance+SVM,0.8669271,0.006335831
160.0,1,3,5,BNCI2014-004,MDM,0.8640625,0.08447472
160.0,1,3,5,BNCI2014-004,TRCSP+LDA,0.8723958,0.016170025
160.0,1,3,5,BNCI2014-004,TS+EL,0.8848958,0.08556595
160.0,1,3,5,BNCI2014-004,TS+LR,0.8828125,0.077937104
160.0,4,3,5,BNCI2014-004,CSP+LDA,0.9921875,0.081967704
160.0,4,3,5,BNCI2014-004,CSP+SVM,0.9924479,0.08447614
160.0,4,3,5,BNCI2014-004,DLCSPauto+shLDA,0.9921875,0.0801647
160.0,4,3,5,BNCI2014-004,FgMDM,0.99114585,0.08892614
160.0,4,3,5,BNCI2014-004,LogVariance+LDA,0.99296874,0.007314317
160.0,4,3,5,BNCI2014-004,LogVariance+SVM,0.99296874,0.0060397466
160.0,4,3,5,BNCI2014-004,MDM,0.9927084,0.08475089
160.0,4,3,5,BNCI2014-004,TRCSP+LDA,0.99140626,0.015526454
160.0,4,3,5,BNCI2014-004,TS+EL,0.9942708,0.082033806
160.0,4,3,5,BNCI2014-004,TS+LR,0.99322915,0.07939663
160.0,5,3,5,BNCI2014-004,CSP+LDA,0.91848963,0.07639594
