samples,subject,channels,n_sessions,dataset,pipeline,score,time
90.0,2,14,3,Zhou2016,CSP+LDA,0.75473243,0.071333
90.0,2,14,3,Zhou2016,CSP+SVM,0.7975309,0.09761701
90.0,2,14,3,Zhou2016,DLCSPauto+shLDA,0.7588477,0.07530414
90.0,2,14,3,Zhou2016,FgMDM,0.78847736,0.11502457
90.0,2,14,3,Zhou2016,LogVariance+LDA,0.6098766,0.017072646
90.0,2,14,3,Zhou2016,LogVariance+SVM,0.68230456,0.015285508
90.0,2,14,3,Zhou2016,MDM,0.7415638,0.096889354
90.0,2,14,3,Zhou2016,TRCSP+LDA,0.76707816,0.023274787
90.0,2,14,3,Zhou2016,TS+EL,0.7925926,0.14692211
90.0,2,14,3,Zhou2016,TS+LR,0.7909465,0.09933934
90.0,4,14,3,Zhou2016,CSP+LDA,0.9835391,0.07403967
90.0,4,14,3,Zhou2016,CSP+SVM,0.98930043,0.094669364
90.0,4,14,3,Zhou2016,DLCSPauto+shLDA,0.9794238,0.07168525
90.0,4,14,3,Zhou2016,FgMDM,0.98683125,0.1135566
90.0,4,14,3,Zhou2016,LogVariance+LDA,0.9382716,0.016773509
90.0,4,14,3,Zhou2016,LogVariance+SVM,0.8502057,0.015985632
90.0,4,14,3,Zhou2016,MDM,0.9827161,0.092853166
90.0,4,14,3,Zhou2016,TRCSP+LDA,0.9794238,0.022463242
90.0,4,14,3,Zhou2016,TS+EL,0.9654321,0.10484325
90.0,4,14,3,Zhou2016,TS+LR,0.9843621,0.097541116
100.0,1,14,3,Zhou2016,CSP+LDA,0.9433333,0.07755923
100.0,1,14,3,Zhou2016,CSP+SVM,0.9223333,0.104774475
100.0,1,14,3,Zhou2016,DLCSPauto+shLDA,0.9293334,0.08128328
100.0,1,14,3,Zhou2016,FgMDM,0.88199997,0.11883616
100.0,1,14,3,Zhou2016,LogVariance+LDA,0.91599995,0.018039132
100.0,1,14,3,Zhou2016,LogVariance+SVM,0.8806667,0.016651703
100.0,1,14,3,Zhou2016,MDM,0.9193333,0.1067411
100.0,1,14,3,Zhou2016,TRCSP+LDA,0.937,0.025963426
100.0,1,14,3,Zhou2016,TS+EL,0.955,0.12419605
100.0,1,14,3,Zhou2016,TS+LR,0.948,0.10363268
100.0,2,14,3,Zhou2016,CSP+LDA,0.91033334,0.08235962
100.0,2,14,3,Zhou2016,CSP+SVM,0.898,0.10591238
100.0,2,14,3,Zhou2016,DLCSPauto+shLDA,0.90166664,0.08526205
100.0,2,14,3,Zhou2016,FgMDM,0.89266664,0.119235456
100.0,2,14,3,Zhou2016,LogVariance+LDA,0.8616667,0.018120574
100.0,2,14,3,Zhou2016,LogVariance+SVM,0.874,0.016209722
100.0,2,14,3,Zhou2016,MDM,0.902,0.1065858
100.0,2,14,3,Zhou2016,TRCSP+LDA,0.93899995,0.02561023
100.0,2,14,3,Zhou2016,TS+EL,0.92,0.12634954
100.0,2,14,3,Zhou2016,TS+LR,0.918,0.10172635
100.0,3,14,3,Zhou2016,CSP+LDA,0.9848889,0.07874075
100.0,3,14,3,Zhou2016,CSP+SVM,0.9915555,0.101811394
100.0,3,14,3,Zhou2016,DLCSPauto+shLDA,0.9844444,0.078734405
100.0,3,14,3,Zhou2016,FgMDM,0.9813333,0.11853279
100.0,3,14,3,Zhou2016,LogVariance+LDA,0.9642222,0.018036036
100.0,3,14,3,Zhou2016,LogVariance+SVM,0.91533333,0.016735183
100.0,3,14,3,Zhou2016,MDM,0.9215555,0.10546675
100.0,3,14,3,Zhou2016,TRCSP+LDA,0.96888894,0.02466197
100.0,3,14,3,Zhou2016,TS+EL,0.9911111,0.1155753
100.0,3,14,3,Zhou2016,TS+LR,0.9902222,0.104198955
100.0,4,14,3,Zhou2016,CSP+LDA,0.97466666,0.07883786
100.0,4,14,3,Zhou2016,CSP+SVM,0.96933335,0.10370637
100.0,4,14,3,Zhou2016,DLCSPauto+shLDA,0.9723334,0.08119244
100.0,4,14,3,Zhou2016,FgMDM,0.9766667,0.11765502
100.0,4,14,3,Zhou2016,LogVariance+LDA,0.9083333,0.017763622
100.0,4,14,3,Zhou2016,LogVariance+SVM,0.90133333,0.015796868
100.0,4,14,3,Zhou2016,MDM,0.958,0.10481032
100.0,4,14,3,Zhou2016,TRCSP+LDA,0.9803333,0.024641825
100.0,4,14,3,Zhou2016,TS+EL,0.98200005,0.1284157
100.0,4,14,3,Zhou2016,TS+LR,0.98066664,0.10243383
119.0,1,14,3,Zhou2016,CSP+LDA,0.8654461,0.09212777
119.0,1,14,3,Zhou2016,CSP+SVM,0.90340906,0.12268152
119.0,1,14,3,Zhou2016,DLCSPauto+shLDA,0.85728115,0.09323416
119.0,1,14,3,Zhou2016,FgMDM,0.8993687,0.13918802
119.0,1,14,3,Zhou2016,LogVariance+LDA,0.8175926,0.020116137
119.0,1,14,3,Zhou2016,LogVariance+SVM,0.66881317,0.01921401
119.0,1,14,3,Zhou2016,MDM,0.818266,0.12085452
119.0,1,14,3,Zhou2016,TRCSP+LDA,0.8515151,0.028422976
119.0,1,14,3,Zhou2016,TS+EL,0.9316077,0.13057292
119.0,1,14,3,Zhou2016,TS+LR,0.9218013,0.1246425
