score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.8736111,0.015596104,120.0,1,0train,3,5,BNCI2014-004,TRCSP+LDA
0.7236111,0.012527561,120.0,1,1train,3,5,BNCI2014-004,TRCSP+LDA
0.871875,0.015091753,160.0,1,2train,3,5,BNCI2014-004,TRCSP+LDA
0.94609374,0.015379811,160.0,1,3test,3,5,BNCI2014-004,TRCSP+LDA
0.7992188,0.018038511,160.0,1,4test,3,5,BNCI2014-004,TRCSP+LDA
0.73194444,0.011649465,120.0,7,0train,3,5,BNCI2014-004,TRCSP+LDA
0.6375,0.012937641,120.0,7,1train,3,5,BNCI2014-004,TRCSP+LDA
0.928125,0.015151357,160.0,7,2train,3,5,BNCI2014-004,TRCSP+LDA
0.76875,0.018324519,160.0,7,3test,3,5,BNCI2014-004,TRCSP+LDA
0.83125,0.015572834,160.0,7,4test,3,5,BNCI2014-004,TRCSP+LDA
1.0,0.015713453,160.0,4,2train,3,5,BNCI2014-004,TRCSP+LDA
0.9984375,0.015110302,160.0,4,3test,3,5,BNCI2014-004,TRCSP+LDA
0.97578126,0.015755605,160.0,4,4test,3,5,BNCI2014-004,TRCSP+LDA
0.96796876,0.014950896,160.0,5,2train,3,5,BNCI2014-004,TRCSP+LDA
0.9578125,0.015559912,160.0,5,3test,3,5,BNCI2014-004,TRCSP+LDA
0.84296876,0.015408325,160.0,5,4test,3,5,BNCI2014-004,TRCSP+LDA
0.73333335,0.011419105,120.0,9,0train,3,5,BNCI2014-004,TRCSP+LDA
0.67083335,0.014414215,120.0,9,1train,3,5,BNCI2014-004,TRCSP+LDA
0.8929688,0.015606928,160.0,9,2train,3,5,BNCI2014-004,TRCSP+LDA
0.94140625,0.015750121,160.0,9,3test,3,5,BNCI2014-004,TRCSP+LDA
0.9117187,0.01499939,160.0,9,4test,3,5,BNCI2014-004,TRCSP+LDA
0.6805556,0.013340712,120.0,8,1train,3,5,BNCI2014-004,TRCSP+LDA
0.93046874,0.01577587,160.0,8,2train,3,5,BNCI2014-004,TRCSP+LDA
0.9273437,0.018413639,160.0,8,3test,3,5,BNCI2014-004,TRCSP+LDA
0.9710938,0.015219545,160.0,8,4test,3,5,BNCI2014-004,TRCSP+LDA
0.8763889,0.059586715,120.0,1,0train,3,5,BNCI2014-004,CSP+SVM
0.8763889,0.060674332,120.0,1,0train,3,5,BNCI2014-004,CSP+SVM
0.69166666,0.0650486,120.0,1,1train,3,5,BNCI2014-004,CSP+SVM
0.69166666,0.060999107,120.0,1,1train,3,5,BNCI2014-004,CSP+SVM
0.8796875,0.08365226,160.0,1,2train,3,5,BNCI2014-004,CSP+SVM
0.8796875,0.0876986,160.0,1,2train,3,5,BNCI2014-004,CSP+SVM
0.9453125,0.077904895,160.0,1,3test,3,5,BNCI2014-004,CSP+SVM
