score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.7979798,0.029095888,119.0,1,0,14,3,Zhou2016,TRCSP+LDA
0.916,0.026599456,100.0,1,1,14,3,Zhou2016,TRCSP+LDA
0.97,0.026968002,100.0,1,2,14,3,Zhou2016,TRCSP+LDA
0.916,0.026246022,100.0,2,0,14,3,Zhou2016,TRCSP+LDA
0.78271604,0.022548104,90.0,2,1,14,3,Zhou2016,TRCSP+LDA
0.938,0.025457716,100.0,2,2,14,3,Zhou2016,TRCSP+LDA
0.986,0.023848485,100.0,3,0,14,3,Zhou2016,TRCSP+LDA
0.982,0.023710107,100.0,3,1,14,3,Zhou2016,TRCSP+LDA
0.976,0.025468875,100.0,3,2,14,3,Zhou2016,TRCSP+LDA
0.9851852,0.022034835,90.0,4,0,14,3,Zhou2016,TRCSP+LDA
0.988,0.02423358,100.0,4,1,14,3,Zhou2016,TRCSP+LDA
0.956,0.025012827,100.0,4,2,14,3,Zhou2016,TRCSP+LDA
0.77853537,0.12013359,119.0,1,0,14,3,Zhou2016,MDM
0.882,0.10507407,100.0,1,1,14,3,Zhou2016,MDM
0.96,0.104595564,100.0,1,2,14,3,Zhou2016,MDM
0.884,0.105053425,100.0,2,0,14,3,Zhou2016,MDM
0.75555557,0.0973073,90.0,2,1,14,3,Zhou2016,MDM
0.922,0.10069809,100.0,2,2,14,3,Zhou2016,MDM
0.91,0.10005651,100.0,3,0,14,3,Zhou2016,MDM
0.876,0.10545983,100.0,3,1,14,3,Zhou2016,MDM
0.954,0.11114812,100.0,3,2,14,3,Zhou2016,MDM
0.99012345,0.09592185,90.0,4,0,14,3,Zhou2016,MDM
0.93,0.10311408,100.0,4,1,14,3,Zhou2016,MDM
0.97,0.10849462,100.0,4,2,14,3,Zhou2016,MDM
0.91212124,0.12561007,119.0,1,0,14,3,Zhou2016,CSP+SVM
0.91212124,0.12045045,119.0,1,0,14,3,Zhou2016,CSP+SVM
0.904,0.1150713,100.0,1,1,14,3,Zhou2016,CSP+SVM
0.904,0.10626745,100.0,1,1,14,3,Zhou2016,CSP+SVM
0.954,0.09951124,100.0,1,2,14,3,Zhou2016,CSP+SVM
0.954,0.11287107,100.0,1,2,14,3,Zhou2016,CSP+SVM
0.91,0.10843086,100.0,2,0,14,3,Zhou2016,CSP+SVM
0.91,0.10643878,100.0,2,0,14,3,Zhou2016,CSP+SVM
0.8320988,0.0947597,90.0,2,1,14,3,Zhou2016,CSP+SVM
0.8320988,0.09549384,90.0,2,1,14,3,Zhou2016,CSP+SVM
0.896,0.10250001,100.0,2,2,14,3,Zhou2016,CSP+SVM
0.896,0.11062155,100.0,2,2,14,3,Zhou2016,CSP+SVM
1.0,0.09786396,100.0,3,0,14,3,Zhou2016,CSP+SVM
1.0,0.10034313,100.0,3,0,14,3,Zhou2016,CSP+SVM
0.988,0.0988821,100.0,3,1,14,3,Zhou2016,CSP+SVM
0.988,0.101803206,100.0,3,1,14,3,Zhou2016,CSP+SVM
0.998,0.10049405,100.0,3,2,14,3,Zhou2016,CSP+SVM
0.998,0.10478697,100.0,3,2,14,3,Zhou2016,CSP+SVM
1.0,0.0926043,90.0,4,0,14,3,Zhou2016,CSP+SVM
1.0,0.09216757,90.0,4,0,14,3,Zhou2016,CSP+SVM
